1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
andrzej wajda 's movie , promised land based on a novel by the nobel laureate władysław reymont , depicts those times and is a worthwhile introduction to the city 's bustling history .	andrzej wajda 's movie , promised land base on a novel by the nobel laureate władysław reymont , depict those time and be a worthwhile introduction to the city 's bustle history .	PROPN;SG PROPN;SG PART N;SG _ PROPN;SG PROPN;SG PST;V;V.PTCP ADP DET;INDF N;SG ADP DEF;DET PROPN;SG N;SG PROPN;SG PROPN;SG _ 3;FIN;IND;PRS;SG;V DET;PL N;PL CONJ 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP DEF;DET N;SG PART V;V.MSDR N;SG _
i believe that offering this right to fork has been a key element of our success thus far .	i believe that offer this right to fork have be a key element of our success thus far .	1;NOM;PRO;SG FIN;IND;PRS;V CONJ V;V.MSDR DET;SG N;SG PART NFIN;V 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF ADJ N;SG ADP 1;PL;PRO N;SG ADV ADV _
it is important to recognize that the specific format of the north-south numbered street names is north / south 145th east / west avenue .	it be important to recognize that the specific format of the north-south numbered street name be north / south 145th east / west avenue .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V CONJ DEF;DET ADJ N;SG ADP DEF;DET ADJ ADJ N;SG N;PL 3;FIN;IND;PRS;SG;V PROPN;SG _ PROPN;SG PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _
without a valid visa , boarding will be denied ( the airline would otherwise get a $ 1,000 fine from the cuban immigration authorities ) .	without a valid visa , board will be deny ( the airline would otherwise get a $ @card@ fine from the cuban immigration authority ) .	ADP DET;INDF ADJ N;SG _ V;V.MSDR FIN;V NFIN;V PST;V;V.PTCP _ DEF;DET N;SG FIN;V ADV NFIN;V DET;INDF _ NUM N;SG ADP DEF;DET ADJ N;SG N;PL _ _
completely .	completely .	ADV _
the wind whips her hair , ruffles the skirt around her knees .	the wind whip her hair , ruffle the skirt around her knee .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V 3;FEM;PRO;SG N;SG _ 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP 3;FEM;PRO;SG N;PL _
among thais , there are strict rules of hierarchy that dictate how and when the wai should be given .	among thai , there be strict rule of hierarchy that dictate how and when the wai should be give .	ADP PL;PROPN _ PRO FIN;IND;PRS;V ADJ N;PL ADP N;SG PRO FIN;IND;PRS;V CONJ CONJ CONJ DEF;DET N;SG FIN;V NFIN;V PST;V;V.PTCP _
in the current study , those respondents who indicated more than one race were coded as “ mixed race ” .	in the current study , those respondent who indicate more than one race be code as " mixed race " .	ADP DEF;DET ADJ N;SG _ DET;PL N;PL PRO FIN;IND;PST;V ADJ;CMPR ADP NUM N;SG FIN;IND;PST;V PST;V;V.PTCP ADP _ ADJ N;SG _ _
drop one to two seeds into each container .	drop one to two seed into each container .	NFIN;V NUM PART NUM N;PL ADP DET N;SG _
york	york	PROPN;SG
therefore , should you wish to donate to a monk , you should only offer food , and put your monetary donation in the appropriate donation box at the temple .	therefore , should you wish to donate to a monk , you should only offer food , and put your monetary donation in the appropriate donation box at the temple .	ADV _ FIN;V 2;NOM;PRO NFIN;V PART NFIN;V ADP DET;INDF N;SG _ 2;NOM;PRO FIN;V ADV NFIN;V N;SG _ CONJ NFIN;V 2;PRO ADJ N;SG ADP DEF;DET ADJ N;SG N;SG ADP DEF;DET N;SG _
santorum criticized the response of the press to the phenomenon in a 2011 radio interview , saying , " it 's offensive beyond , you know , anything that any public figure or anybody in america should tolerate , and the mainstream media laughs about it . "	santorum criticize the response of the press to the phenomenon in a @card@ radio interview , say , " it be offensive beyond , you know , anything that any public figure or anybody in america should tolerate , and the mainstream media laugh about it . "	PROPN;SG FIN;IND;PST;V DEF;DET N;SG ADP DEF;DET N;SG ADP DEF;DET N;SG ADP DET;INDF NUM N;SG N;SG _ V;V.MSDR _ _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ ADP _ 2;NOM;PRO FIN;IND;PRS;V _ N;SG PRO DET ADJ N;SG CONJ N;SG ADP PROPN;SG FIN;V NFIN;V _ CONJ DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V ADP 3;NEUT;NOM;PRO;SG _ _
biologists think that fear causes this " hypnosis , " which may be an attempt to " play dead " to fool predators .	biologist think that fear cause this " hypnosis , " which may be an attempt to " play dead " to fool predator .	N;PL FIN;IND;PRS;V CONJ N;SG 3;FIN;IND;PRS;SG;V DET;SG _ N;SG _ _ PRO FIN;V NFIN;V DET;INDF N;SG PART _ NFIN;V ADJ _ PART NFIN;V N;PL _
if you want to take it a step further , look around questioningly at everyone in the elevator when no one gets off at the floors you pushed . [ 1 ]	if you want to take it a step further , look around questioningly at everyone in the elevator when no one get off at the floor you push . [ 1 ]	CONJ 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V 3;ACC;NEUT;PRO;SG DET;INDF N;SG ADV;CMPR _ NFIN;V ADV ADV ADP N;SG ADP DEF;DET N;SG CONJ DET;NEG NUM 3;FIN;IND;PRS;SG;V ADP ADP DEF;DET N;PL 2;NOM;PRO FIN;IND;PST;V _ _ NUM _
also , for the thing to work you need to have many dedicated volunteers willing to do the management ( onerous ) and many willing to do the reading .	also , for the thing to work you need to have many dedicated volunteer willing to do the management ( onerous ) and many willing to do the reading .	ADV _ CONJ DEF;DET N;SG PART NFIN;V 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V ADJ ADJ N;PL ADJ PART NFIN;V DEF;DET N;SG _ ADJ _ CONJ ADJ ADJ PART NFIN;V DEF;DET N;SG _
ahmed mohamed , a 14-year-old boy from irving , texas , was arrested at his school by police after he brought a digital clock he had made to school .	ahmed mohamed , a 14-year-old boy from irving , texas , be arrest at his school by police after he bring a digital clock he have make to school .	PROPN;SG PROPN;SG _ DET;INDF ADJ N;SG ADP PROPN;SG _ PROPN;SG _ 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP 3;MASC;PRO;SG N;SG ADP N;PL CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;INDF ADJ N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V PST;V;V.PTCP ADP N;SG _
there are electronic units sold that emit an ultrasonic beeping sound that rodents hate .	there be electronic unit sell that emit an ultrasonic beeping sound that rodent hate .	PRO FIN;IND;PRS;V ADJ N;PL PST;V;V.PTCP PRO FIN;IND;PRS;V DET;INDF ADJ N;SG N;SG CONJ N;PL FIN;IND;PRS;V _
" i think everybody knows andy warhol 's name , even non-art people , that 's a name they might know because he was such a personality " , water said .	" i think everybody know andy warhol 's name , even non-art people , that be a name they might know because he be such a personality " , water say .	_ 1;NOM;PRO;SG FIN;IND;PRS;V N;SG 3;FIN;IND;PRS;SG;V PROPN;SG PROPN;SG PART N;SG _ ADV N;SG N;PL _ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG 3;NOM;PL;PRO FIN;V NFIN;V CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PRO DET;INDF N;SG _ _ PROPN;SG FIN;IND;PST;V _
while the impact of a translation may be close to the original , there can be no identity in detail .	while the impact of a translation may be close to the original , there can be no identity in detail .	CONJ DEF;DET N;SG ADP DET;INDF N;SG FIN;V NFIN;V ADJ ADP DEF;DET N;SG _ PRO FIN;V NFIN;V DET;NEG N;SG ADP N;SG _
sources	source	N;PL
instead of using vegetable oil , try substituting it for walnut or macadamia nut oils if they are available to you .	instead of use vegetable oil , try substitute it for walnut or macadamia nut oil if they be available to you .	CONJ ADP V;V.MSDR N;SG N;SG _ NFIN;V V;V.MSDR 3;ACC;NEUT;PRO;SG ADP N;SG CONJ N;SG N;SG N;PL CONJ 3;NOM;PL;PRO FIN;IND;PRS;V ADJ ADP 2;NOM;PRO _
establish boundaries and have the seekers look for the snitch .	establish boundary and have the seeker look for the snitch .	NFIN;V N;PL CONJ NFIN;V DEF;DET N;PL NFIN;V ADP DEF;DET N;SG _
we need to know what about them is different and thus related to living in this strange way .	we need to know what about them be different and thus relate to live in this strange way .	1;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V PRO ADP 3;ACC;PL;PRO 3;FIN;IND;PRS;SG;V ADJ CONJ ADV PST;V;V.PTCP PART V;V.MSDR ADP DET;SG ADJ N;SG _
start the game .	start the game .	NFIN;V DEF;DET N;SG _
recreational , cultural and educational opportunities are abundant throughout northeast ohio .	recreational , cultural and educational opportunity be abundant throughout northeast ohio .	ADJ _ ADJ CONJ ADJ N;PL FIN;IND;PRS;V ADJ ADP PROPN;SG PROPN;SG _
visitors will not be allowed in the other shuttles and this trainer is a true win for our dynamic museum .	visitor will not be allow in the other shuttle and this trainer be a true win for our dynamic museum .	N;PL FIN;V NEG;PART NFIN;V PST;V;V.PTCP ADP DEF;DET ADJ N;PL CONJ DET;SG N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP 1;PL;PRO ADJ N;SG _
although rare , one east-west numbered street may even intersect with a street of the same number running north-south .	although rare , one east-west numbered street may even intersect with a street of the same number run north-south .	CONJ ADJ _ NUM ADJ ADJ N;SG FIN;V ADV NFIN;V ADP DET;INDF N;SG ADP DEF;DET ADJ N;SG V;V.MSDR ADV _
reality hurts when it intrudes ; as such , an arrogant person is less likely than other people to self-reflect or analyse , thereby not seeing their own imperfections .	reality hurt when it intrude ; as such , an arrogant person be less likely than other people to self-reflect or analyse , thereby not see their own imperfection .	N;SG 3;FIN;IND;PRS;SG;V CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _ ADP ADJ _ DET;INDF ADJ N;SG 3;FIN;IND;PRS;SG;V ADV;CMPR ADJ ADP ADJ N;PL PART NFIN;V CONJ NFIN;V _ ADV NEG;PART V;V.MSDR 3;PL;PRO ADJ N;PL _
there are several campsites that allow tourists to barbeque on the beach with beautiful mountain views in the background .	there be several campsite that allow tourist to barbeque on the beach with beautiful mountain view in the background .	PRO FIN;IND;PRS;V ADJ N;PL PRO FIN;IND;PRS;V N;PL PART NFIN;V ADP DEF;DET N;SG ADP ADJ N;SG N;PL ADP DEF;DET N;SG _
if it becomes apparent that you cannot open either of your two parachutes , or that for some other reason they are fatally non-functional , then the following steps may be of some minor assistance .	if it become apparent that you can open either of your two parachute , or that for some other reason they be fatally non-functional , then the follow step may be of some minor assistance .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ 2;NOM;PRO FIN;V NFIN;V PRO ADP 2;PRO NUM N;PL _ CONJ CONJ ADP DET ADJ N;SG 3;NOM;PL;PRO FIN;IND;PRS;V ADV ADJ _ ADV DEF;DET V;V.MSDR N;PL FIN;V NFIN;V ADP DET ADJ N;SG _
it 's really strange occurrence , over the years .	it be really strange occurrence , over the year .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ N;SG _ ADP DEF;DET N;PL _
professor eastman says manufacturers could easily remedy the situation by using iodised salt in their products in line with the united states and most european countries .	professor eastman say manufacturer could easily remedy the situation by use iodise salt in their product in line with the united states and most european country .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V N;PL FIN;V ADV NFIN;V DEF;DET N;SG CONJ V;V.MSDR PST;V;V.PTCP N;SG ADP 3;PL;PRO N;PL ADP N;SG ADP DEF;DET PROPN;SG PL;PROPN CONJ ADJ;RL ADJ N;PL _
the main reason attributed for the pollution of athens is because the city is enclosed by mountains in a basin which does not let the smog leave .	the main reason attribute for the pollution of athens be because the city be enclose by mountain in a basin which do not let the smog leave .	DEF;DET ADJ N;SG PST;V;V.PTCP ADP DEF;DET N;SG ADP PROPN;SG 3;FIN;IND;PRS;SG;V CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP N;PL ADP DET;INDF N;SG PRO 3;FIN;IND;PRS;SG;V NEG;PART NFIN;V DEF;DET N;SG NFIN;V _
for example , if you want the word ' horse ' to be a boy , you may want ' the horse ' to be ' mat fereder ' , but a ' cat ' to be a girl , you may want , ' the cat ' to be ' fet kamaow ' .	for example , if you want the word ' horse ' to be a boy , you may want ' the horse ' to be ' mat fereder ' , but a ' cat ' to be a girl , you may want , ' the cat ' to be ' fet kamaow ' .	ADP N;SG _ CONJ 2;NOM;PRO FIN;IND;PRS;V DEF;DET N;SG _ N;SG _ PART NFIN;V DET;INDF N;SG _ 2;NOM;PRO FIN;V NFIN;V _ DEF;DET N;SG _ PART NFIN;V _ _ _ _ _ CONJ DET;INDF _ N;SG _ PART NFIN;V DET;INDF N;SG _ 2;NOM;PRO FIN;V NFIN;V _ _ DEF;DET N;SG _ PART NFIN;V _ _ _ _ _
each score is worth 10 points .	each score be worth @card@ point .	DET N;SG 3;FIN;IND;PRS;SG;V ADJ NUM N;PL _
a connecticut yankee in king arthur 's court ( solo )	a connecticut yankee in king arthur 's court ( solo )	DET;INDF PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG PART PROPN;SG _ ADV _
stay away from misogynist jokes if you ’ve got an audience full of women ;	stay away from misogynist joke if you have get an audience full of woman ;	NFIN;V ADV ADP ADJ N;PL ADP 2;NOM;PRO FIN;IND;PRS;V CONJ;PST;V.PTCP DET;INDF N;SG ADJ ADP N;PL _
she never looked back at me — poverty and failure and political disrepute being all , these days , contagious and synonymous .	she never look back at me — poverty and failure and political disrepute be all , these day , contagious and synonymous .	3;FEM;NOM;PRO;SG ADV;NEG FIN;IND;PST;V ADV ADP 1;ACC;PRO;SG _ N;SG CONJ N;SG CONJ ADJ N;SG V;V.MSDR ADV _ DET;PL N;PL _ ADJ CONJ ADJ _
i experienced that kind of adversity during 9/11 being a civilian volunteer .	i experience that kind of adversity during @card@ be a civilian volunteer .	1;NOM;PRO;SG FIN;IND;PST;V DET;SG N;SG ADP N;SG ADP PROPN;SG V;V.MSDR DET;INDF ADJ N;SG _
what 's your favorite question ?	what be your favorite question ?	PRO 3;FIN;IND;PRS;SG;V 2;PRO ADJ N;SG _
method 3 cooking in the oven	method 3 cook in the oven	N;SG NUM V;V.MSDR ADP DEF;DET N;SG
it ’s best to wash adults ’ overalls alone , especially men ’s .	it 's good to wash adult 's overall alone , especially man 's .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;RL PART NFIN;V N;PL PART N;PL ADV _ ADV N;PL PART _
i fell asleep thinking about how i wished that the scathalos outrunners were gone .	i fall asleep think about how i wish that the scathalos outrunner be go .	1;NOM;PRO;SG FIN;IND;PST;V ADV V;V.MSDR ADV CONJ 1;NOM;PRO;SG FIN;IND;PST;V CONJ DEF;DET PROPN;SG N;PL FIN;IND;PST;V PST;V;V.PTCP _
do n't be nosy or gossipy , but if they are happy with someone one day and hateful with them the next , that 's a sign of them having a lot of fair weather friends .	do n't be nosy or gossipy , but if they be happy with someone one day and hateful with them the next , that be a sign of them have a lot of fair weather friend .	NFIN;V NEG;PART NFIN;V ADJ CONJ ADJ _ CONJ CONJ 3;NOM;PL;PRO FIN;IND;PRS;V ADJ ADP N;SG NUM N;SG CONJ ADJ ADP 3;ACC;PL;PRO DEF;DET ADJ _ PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG CONJ 3;ACC;PL;PRO V;V.MSDR DET;INDF N;SG ADP ADJ N;SG N;PL _
ballet began in royal courts in the early 1600's , and early forms of this elegant and sophisticated art involved long skirts and wooden clogs .	ballet begin in royal court in the early 1600's , and early form of this elegant and sophisticated art involve long skirt and wooden clog .	N;SG FIN;IND;PST;V ADP ADJ N;PL ADP DEF;DET ADJ N;PL _ CONJ ADJ N;PL ADP DET;SG ADJ CONJ ADJ N;SG FIN;IND;PST;V ADJ N;PL CONJ ADJ N;PL _
he was exchanged in november 1780 and served on general george washington 's staff for the remainder of the american revolution .	he be exchange in november @card@ and serve on general george washington 's staff for the remainder of the american revolution .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG NUM CONJ FIN;IND;PST;V ADP PROPN;SG PROPN;SG PROPN;SG PART N;SG ADP DEF;DET N;SG ADP DEF;DET PROPN;SG PROPN;SG _
grand lake and lakeshore both share a friendly , suburban sort of feel .	grand lake and lakeshore both share a friendly , suburban sort of feel .	PROPN;SG PROPN;SG CONJ PROPN;SG CONJ FIN;IND;PRS;V DET;INDF ADJ _ ADJ N;SG ADP N;SG _
do n't be too self-deprecating .	do n't be too self-deprecate .	NFIN;V NEG;PART NFIN;V ADV ADJ _
portrait shot of dennis hopper , famous for his role in the 1969 film easy rider , amongst the warhol polaroids donated to usi by the andy warhol foundation for the visual arts .	portrait shot of dennis hopper , famous for his role in the @card@ film easy rider , amongst the warhol polaroid donate to usi by the andy warhol foundation for the visual arts .	N;SG N;SG ADP PROPN;SG PROPN;SG _ ADJ ADP 3;MASC;PRO;SG N;SG ADP DEF;DET NUM N;SG PROPN;SG PROPN;SG _ ADP DEF;DET PROPN;SG N;PL PST;V;V.PTCP ADP PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG _
" we take document security seriously , " she said , but refused to give any more details about how the papers came to be on a road .	" we take document security seriously , " she say , but refuse to give any more detail about how the paper come to be on a road .	_ 1;NOM;PL;PRO FIN;IND;PRS;V N;SG N;SG ADV _ _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V _ CONJ FIN;IND;PST;V PART NFIN;V DET ADJ;CMPR N;PL ADP CONJ DEF;DET N;PL FIN;IND;PST;V PART NFIN;V ADP DET;INDF N;SG _
the polaroids were all donated by the andy warhol photographic legacy program , according to kristen wilkins , assistant professor of photography and curator of the exhibit .	the polaroid be all donate by the andy warhol photographic legacy program , accord to kristen wilkins , assistant professor of photography and curator of the exhibit .	DEF;DET N;PL FIN;IND;PST;V ADV PST;V;V.PTCP ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG _ V;V.MSDR PART PROPN;SG PROPN;SG _ ADJ N;SG ADP N;SG CONJ N;SG ADP DEF;DET N;SG _
they have ideas but they can not formulate them in the right way .	they have idea but they can not formulate them in the right way .	3;NOM;PL;PRO FIN;IND;PRS;V N;PL CONJ 3;NOM;PL;PRO FIN;V NEG;PART NFIN;V 3;ACC;PL;PRO ADP DEF;DET ADJ N;SG _
the sea org requires members to sign a billion-year-contract , agreeing to work for the organization founded by science fiction writer l. ron hubbard for multiple lifetimes .	the sea org require member to sign a billion-year-contract , agree to work for the organization found by science fiction writer l. ron hubbard for multiple lifetime .	DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V N;PL PART NFIN;V DET;INDF N;SG _ V;V.MSDR PART NFIN;V ADP DEF;DET N;SG PST;V;V.PTCP ADP N;SG N;SG N;SG PROPN;SG PROPN;SG PROPN;SG ADP ADJ N;PL _
environment minister john baird has asked government officials how such documents that are supposed to be stored in " approved security cabinets " wound up on the street .	environment minister john baird have ask government official how such document that be suppose to be store in " approved security cabinet " wind up on the street .	PROPN;SG PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP N;SG N;PL CONJ DET N;PL PRO FIN;IND;PRS;V PST;V;V.PTCP PART NFIN;V PST;V;V.PTCP ADP _ ADJ N;SG N;PL _ FIN;IND;PST;V ADP ADP DEF;DET N;SG _
