ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
ja vel .	ja vel $.	INTJ ADV _
å dei var så store ?	å dei vere så stor $?	INTJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;PL _
ja .	ja $.	INTJ _
kva for noko for da ?	kva for noko for da $?	PRO ADP 3;ACC;NEUT;PRO;SG ADP ADV _
fjorten tusen ?	fjorten tusen $?	NUM;PL NUM;PL _
da var det usikkert her i vardø var det mykje bombing og forskjellige ting .	da vere det usikker her i vardø vere det mykje bombing og forskjellig ting $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG ADV ADP PROPN FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;SG FEM;INDF;N;SG CONJ ADJ;PL INDF;MASC;N;PL _
fraktefart du veit eg .	fraktefart du vite eg $.	INDF;MASC;N;SG 2;HUM;NOM;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG _
ja m4 å .	ja m4 å $.	INTJ PROPN INTJ _
enn em enn den her som ein eg hadde .	enn em enn den her som ein eg ha $.	ADP _ ADP 3;NOM;PRO;SG ADV PRO HUM;NOM;PRO;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V _
vart du jaga til land .	bli du jage til land $.	FIN;IND;PST;V 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP INDF;N;NEUT;SG _
ja .	ja $.	INTJ _
oppå rishøgda .	oppå rishøgda $.	ADP PROPN _
og da gjekk ein til havs òg da .	og da gå ein til hav òg da $.	CONJ ADV FIN;IND;PST;V HUM;NOM;PRO;SG ADP INDF;N;NEUT;SG ADV ADV _
# ja det høyrer eg jo på dialekten .	# ja det høyre eg jo på dialekt $.	_ INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG ADV ADP DEF;MASC;N;SG _
nei ikkje det # nei .	nei ikkje det # nei $.	INTJ NEG;PART 3;NEUT;PRO;SG _ INTJ _
for var han rå så blei det berre vatnet .	for vere han rå så bli det berre vatn $.	CONJ FIN;IND;PST;V 3;MASC;NOM;PRO;SG ADJ;INDF;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV DEF;N;NEUT;SG _
og dei trudde at vi var # stod i kontakt med den # russiske undervassbåten eller med med ## si- det oppgav dei som grunn .	og dei tru at vi vere # stå i kontakt med den # russisk undervassbåt eller med med ## si- det oppgi dei som grunn $.	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V _ FIN;IND;PST;V ADP INDF;MASC;N;SG ADP DET;MASC;SG _ ADJ;DEF;SG DEF;MASC;N;SG CONJ ADP ADP _ _ 3;NEUT;PRO;SG FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADP INDF;MASC;N;SG _
ja vi hadde dei der merka så som da var å ta i betraktning det var ikkje så sikkert at ein # stemte så eller når men vi hadde nå # det til merke og sjå .	ja vi ha dei der merke så som da vere å ta i betraktning det vere ikkje så sikker at ein # stemme så eller når men vi ha nå # det til merke og sjå $.	INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V 3;ACC;HUM;PL;PRO ADJ FIN;IND;PST;V ADV PRO ADV FIN;IND;PST;V PART NFIN;V ADP FEM;INDF;N;SG 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART ADV ADJ;INDF;NEUT;SG CONJ HUM;NOM;PRO;SG _ FIN;IND;PST;V ADV CONJ CONJ CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV _ 3;NEUT;PRO;SG ADP INDF;N;NEUT;PL CONJ NFIN;V _
ja da kva var det ?	ja da kva vere det $?	INTJ ADV PRO FIN;IND;PST;V 3;NEUT;PRO;SG _
til oslo .	til oslo $.	ADP PROPN _
så da har du jo # familie rundt deg ja .	så da ha du jo # familie rundt du ja $.	CONJ ADV FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADV _ INDF;MASC;N;SG ADP 2;ACC;HUM;PRO;SG INTJ _
ja # da måtte ho klare seg aleine da med ungane òg ?	ja # da måtte ho klare seg aleine da med unge òg $?	INTJ _ ADV FIN;IND;PST;V 3;FEM;NOM;PRO;SG NFIN;V ACC;PRO;REFL ADV ADV ADP DEF;MASC;N;PL ADV _
akkurat .	akkurat $.	ADV _
da var det # da leverte eg på mjølkeforsyninga .	da vere det # da levere eg på mjølkeforsyning $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP DEF;FEM;N;SG _
ja .	ja $.	INTJ _
ja vel .	ja vel $.	INTJ ADV _
ja du veit det var det # det em tyskarane kom i noreg i nittenhundreogførti .	ja du vite det vere det # det em tyskar komme i noreg i nittenhundreogførti $.	INTJ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG _ 3;NEUT;PRO;SG _ DEF;MASC;N;PL FIN;IND;PST;V ADP PROPN ADP NUM;PL _
ja det var ## eg kunne fortelje så mykje at at heile dagen for den saks skyld .	ja det vere ## eg kunne fortelje så mykje at at heil dag for den sak skyld $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADV ADJ;INDF;NEUT;SG CONJ CONJ ADJ;DEF;SG DEF;MASC;N;SG ADP DET;MASC;SG INDF;MASC;N;SG FEM;INDF;N;SG _
også heim til dei skulle til mehamn e ja det var til mehamn .	også heim til dei skulle til mehamn e ja det vere til mehamn $.	ADV ADP ADP 3;ACC;HUM;PL;PRO FIN;IND;PST;V ADP PROPN _ INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP PROPN _
vi # ## russiske undervassbåten # han gjekk .	vi # ## russisk undervassbåt # han gå $.	1;HUM;NOM;PL;PRO _ _ ADJ;DEF;SG DEF;MASC;N;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V _
men så budde de altså i kongsfjord ein del også ?	men så bu de altså i kongsfjord ein del også $?	CONJ ADV FIN;IND;PST;V 2;HUM;NOM;PL;PRO ADV ADP PROPN DET;MASC;SG INDF;MASC;N;SG ADV _
var delt i to liksom # at dei hadde halv not # framme # og så .	vere dele i to liksom # at dei ha halv not # framme # og så $.	FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP NUM;PL ADV _ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADJ;INDF;SG FEM;INDF;N;SG _ ADP _ CONJ ADV _
ja .	ja $.	INTJ _
» sa eg til dei ## ja # dei # har lege og e drive i maskinskade i fleire døgn sa han # eller .	» seie eg til dei ## ja # dei # ha ligge og e drive i maskinskade i mange døgn seie han # eller $.	_ FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP 3;ACC;HUM;PL;PRO _ INTJ _ 3;HUM;NOM;PL;PRO _ FIN;IND;PRS;V V;V.PTCP CONJ _ V;V.PTCP ADP INDF;MASC;N;SG ADP ADJ INDF;N;NEUT;PL FIN;IND;PST;V 3;MASC;NOM;PRO;SG _ CONJ _
der køyrde vi ned e .	der køyre vi ned e $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP _ _
jaha .	jaha $.	INTJ _
nei .	nei $.	INTJ _
mm .	mm $.	INTJ _
og så e # sør igjennom i stavangerfjordane eller rogalandsfjordane .	og så e # sør igjennom i stavangerfjordane eller rogalandsfjordane $.	CONJ ADV _ _ ADP ADP ADP PROPN CONJ PROPN _
men # så gjekk det etter kvart så bygde dei # opp # og bygde opp og bygde opp og fekk ein flott mottakelse .	men # så gå det etter kvar så bygge dei # opp # og bygge opp og bygge opp og få ein flott mottakelse $.	CONJ _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADP DET;NEUT;SG ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO _ ADP _ CONJ FIN;IND;PST;V ADP CONJ FIN;IND;PST;V ADP CONJ FIN;IND;PST;V DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG _
her ifrå oslo og så til askim .	her ifrå oslo og så til askim $.	ADV ADP PROPN CONJ ADV ADP PROPN _
ja .	ja $.	INTJ _
er det like fint som da du # var her i ungdommen ?	vere det like fin som da du # vere her i ungdom $?	FIN;IND;PRS;V 3;NEUT;PRO;SG ADV ADJ;INDF;NEUT;SG PRO ADV 2;HUM;NOM;PRO;SG _ FIN;IND;PST;V ADV ADP DEF;MASC;N;SG _
men e .	men e $.	CONJ _ _
ja visst .	ja visst $.	INTJ ADV _
ja ## ja .	ja ## ja $.	INTJ _ INTJ _
men nå vi køyrde med den forden e den første eg be- bilen eg hadde .	men nå vi køyre med den forden e den første eg be- bil eg ha $.	CONJ ADV 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DET;MASC;SG PROPN _ DET;MASC;SG ADJ;DEF;SG 1;HUM;NOM;PRO;SG _ DEF;MASC;N;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V _
var det mange forlis ?	vere det mange forlis $?	FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;PL INDF;N;NEUT;PL _
og # ei stund etterpå så fekk vi opp lina hans ## vi visste kva slags merke han hadde på lina .	og # ein stund etterpå så få vi opp line hans ## vi vite kva slags merke han ha på line $.	CONJ _ DET;FEM;SG FEM;INDF;N;SG ADV ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;FEM;N;SG FEM;PRO;SG _ 1;HUM;NOM;PL;PRO FIN;IND;PST;V DET N;NEUT INDF;N;NEUT;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP DEF;FEM;N;SG _
det var skøyte ei stund de brukte ?	det vere skøyte ein stund de bruke $?	3;NEUT;PRO;SG FIN;IND;PST;V INDF;N;SG DET;FEM;SG FEM;INDF;N;SG 2;HUM;NOM;PL;PRO FIN;IND;PST;V _
ja vel det stemmer det han .	ja vel det stemme det han $.	INTJ ADV 3;NEUT;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG _
ja ja er nå # detektimen er nå hundre prosent sikker .	ja ja vere nå # detektimen vere nå hundre prosent sikker $.	INTJ INTJ FIN;IND;PRS;V ADV _ PROPN FIN;IND;PRS;V ADV NUM;PL INDF;MASC;N;PL ADJ;INDF;SG _
ja men da men barna var lo- ## eldsteguten han var nå .	ja men da men barn vere lo- ## eldstegut han vere nå $.	INTJ CONJ ADV CONJ DEF;N;NEUT;PL FIN;IND;PST;V _ _ DEF;MASC;N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV _
nei .	nei $.	INTJ _
nei han # hadde vore i grava da i nesten ti # ja ja .	nei han # ha vere i grav da i nesten ti # ja ja $.	INTJ 3;MASC;NOM;PRO;SG _ FIN;IND;PST;V V;V.PTCP ADP DEF;FEM;N;SG ADV ADP ADV NUM;PL _ INTJ INTJ _
å ja # ja .	å ja # ja $.	INTJ INTJ _ INTJ _
jaså .	jaså $.	ADV _
kjøpte eg smågris .	kjøpe eg smågris $.	FIN;IND;PST;V 1;HUM;NOM;PRO;SG INDF;MASC;N;SG _
eg låg nå på sjukehus over eit år # ja så # før eg kom meg ut derfrå kom ut i ja treogfem- treogførti .	eg ligge nå på sjukehus over ein år # ja så # før eg komme eg ut derfrå komme ut i ja treogfem- treogførti $.	1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADP INDF;N;NEUT;SG ADP DET;NEUT;SG INDF;N;NEUT;SG _ INTJ ADV _ ADP 1;HUM;NOM;PRO;SG FIN;IND;PST;V 1;ACC;HUM;PRO;SG ADP ADV FIN;IND;PST;V ADP ADP INTJ _ NUM;PL _
vi hadde potetlast ## var i e .	vi ha potetlast ## vere i e $.	1;HUM;NOM;PL;PRO FIN;IND;PST;V FEM;INDF;N;SG _ FIN;IND;PST;V ADP _ _
så køyrde bøndene mjølka dit med hest .	så køyre bonde mjølk dit med hest $.	ADV FIN;IND;PST;V DEF;MASC;N;PL DEF;FEM;N;SG ADV ADP INDF;MASC;N;SG _
nei det var frå f- tysk forpostbåt .	nei det vere frå f- tysk forpostbåt $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP _ ADJ;INDF;SG INDF;MASC;N;SG _
mm .	mm $.	INTJ _
til eg kom opp bakken .	til eg komme opp bakke $.	ADP 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG _
ja ja men .	ja ja men $.	INTJ INTJ CONJ _
å ja .	å ja $.	INTJ INTJ _
og køyrde for alle andre .	og køyre for all annan $.	CONJ FIN;IND;PST;V ADP DET;PL DET;PL _
sl- ja # sl- køyrde slakta gris inn .	sl- ja # sl- køyre slakte gris inn $.	_ INTJ _ _ FIN;IND;PST;V ADJ;INDF;SG INDF;MASC;N;SG ADP _
.	$.	_
ja .	ja $.	INTJ _
ja # akkurat .	ja # akkurat $.	INTJ _ ADV _
det var han m4 og .	det vere han m4 og $.	3;NEUT;PRO;SG FIN;IND;PST;V 3;MASC;NOM;PRO;SG PROPN CONJ _
til å begynne med seinare i det ifrå i nittenniogtjue # åtte niogtjue så kan du seie så drifta vi mest på banken # lenger ut .	til å begynne med sein i det ifrå i nittenniogtjue # åtte niogtjue så kunne du seie så drifte vi mykje på bank # lang ut $.	ADP PART NFIN;V ADP ADJ ADP 3;NEUT;PRO;SG ADP ADP INDF;MASC;N;SG _ NUM;PL NUM;PL ADV FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADJ;INDF;RL ADP DEF;MASC;N;SG _ ADJ ADP _
så det gjekk så det skvatt .	så det gå så det skvette $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _
ja .	ja $.	INTJ _
og der var vi til # om hausten nittenhundreogførti også kom vi tilbake da var det tyskarane komne inn i noreg da .	og der vere vi til # om haust nittenhundreogførti også komme vi tilbake da vere det tyskar komme inn i noreg da $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP _ ADP DEF;MASC;N;SG NUM;PL ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP ADV FIN;IND;PST;V 3;NEUT;PRO;SG DEF;MASC;N;PL ADJ;PL ADP ADP PROPN ADV _
er han det ja ?	vere han det ja $?	FIN;IND;PRS;V 3;MASC;NOM;PRO;SG 3;NEUT;PRO;SG INTJ _
mjølkeforsyninga har ma- # trur eg har mange hestar i dag au .	mjølkeforsyning ha ma- # tru eg ha mange hest i dag au $.	DEF;FEM;N;SG FIN;IND;PRS;V _ _ FIN;IND;PRS;V 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADJ;PL INDF;MASC;N;PL ADP INDF;MASC;N;SG ADV _
e # var du med far din du reiste ?	e # vere du med far din du reise $?	_ _ FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP INDF;MASC;N;SG MASC;PRO;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V _
ja .	ja $.	INTJ _
seier du det .	seie du det $.	FIN;IND;PRS;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG _
var det han som lodda etter fisken ?	vere det han som lodde etter fisk $?	FIN;IND;PST;V 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG PRO FIN;IND;PST;V ADP DEF;MASC;N;SG _
leste bilane # proppa fulle av folk .	lesse bil # proppe full av folk $.	FIN;IND;PST;V DEF;MASC;N;PL _ ADJ;INDF;NEUT;SG ADJ;PL ADP INDF;N;NEUT;PL _
å .	å $.	INTJ _
m2 ja # m2 .	m2 ja # m2 $.	PROPN INTJ _ PROPN _
ja # så da delte de utbyttet ?	ja # så da dele de utbytte $?	INTJ _ ADV ADV FIN;IND;PST;V 2;HUM;NOM;PL;PRO DEF;N;NEUT;SG _
ja i grønnegata # grønnegata heiter det her .	ja i grønnegata # grønnegata heite det her $.	INTJ ADP PROPN _ PROPN FIN;IND;PRS;V 3;NEUT;PRO;SG ADV _
så har han drive dette her gardsbruket # så har eg vore veiarbeidar .	så ha han drive dette her gardsbruk # så ha eg vere veiarbeidar $.	ADV FIN;IND;PRS;V 3;MASC;NOM;PRO;SG V;V.PTCP 3;ACC;NEUT;PRO;SG ADV DEF;N;NEUT;SG _ ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG V;V.PTCP INDF;MASC;N;SG _
ja .	ja $.	INTJ _
å ikkje lenger ?	å ikkje lenger $?	INTJ NEG;PART ADV _
generator måtte vi køyre med ja under krigen .	generator måtte vi køyre med ja under krig $.	INDF;MASC;N;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V ADP INTJ ADP DEF;MASC;N;SG _
og køyrde # ko- e kombinert rute til oslo .	og køyre # ko- e kombinere rute til oslo $.	CONJ FIN;IND;PST;V _ _ _ ADJ;INDF;SG FEM;INDF;N;SG ADP PROPN _
jaha .	jaha $.	INTJ _
ja .	ja $.	INTJ _
ja i førti .	ja i førti $.	INTJ ADP NUM;PL _
e ja du veit når du er i ein utkant så .	e ja du vite når du vere i ein utkant så $.	_ INTJ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V CONJ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V ADP DET;MASC;SG INDF;MASC;N;SG ADV _
dei køyrde jo var lastebilen mykje og .	dei køyre jo vere lastebil mykje og $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV FIN;IND;PST;V DEF;MASC;N;SG ADJ;INDF;NEUT;SG CONJ _
nei det var ifrå null og oppigjennom det .	nei det vere ifrå null og oppigjennom det $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP NUM;PL CONJ ADP 3;NEUT;PRO;SG _
ja # ja .	ja # ja $.	INTJ _ INTJ _
ja .	ja $.	INTJ _
det var prisen som vi brukte .	det vere pris som vi bruke $.	3;NEUT;PRO;SG FIN;IND;PST;V DEF;MASC;N;SG PRO 1;HUM;NOM;PL;PRO FIN;IND;PST;V _
hadde eg den au attved den som eg hadde f- andre eg hadde .	ha eg den au attved den som eg ha f- annan eg ha $.	FIN;IND;PST;V 1;HUM;NOM;PRO;SG 3;ACC;PRO;SG ADV ADP 3;NOM;PRO;SG PRO 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ DET;PL 1;HUM;NOM;PRO;SG FIN;IND;PST;V _
men det var for fullt på sjukehuset # og det var så bra dei kunne behøvde ikkje å vere der # så bl- fekk dei plass der og vere der og det var veldig koseleg og fint å vere der .	men det vere for full på sjukehus # og det vere så bra dei kunne behøve ikkje å vere der # så bl- få dei plass der og vere der og det vere veldig koseleg og fin å vere der $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADP DEF;N;NEUT;SG _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG 3;HUM;NOM;PL;PRO FIN;IND;PST;V FIN;IND;PST;V NEG;PART PART NFIN;V ADV _ ADV _ FIN;IND;PST;V 3;HUM;NOM;PL;PRO INDF;MASC;N;SG ADV CONJ NFIN;V ADV CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG ADV ADJ;INDF;NEUT;SG PART NFIN;V ADV _
det det med austavind for eksempel # nå korleis blei det ?	det det med austavind for eksempel # nå korleis bli det $?	3;NEUT;PRO;SG 3;NEUT;PRO;SG ADP INDF;MASC;N;SG ADP INDF;N;NEUT;PL _ ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG _
ja .	ja $.	INTJ _
når det er avfisking # inni innover fjorden så fiska vi der .	når det vere avfisking # inni innover fjord så fiske vi der $.	CONJ 3;NEUT;PRO;SG FIN;IND;PRS;V FEM;INDF;N;SG _ ADP ADP DEF;MASC;N;SG ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV _
det var nå nokon hundre meter med arbeid det er nokså billig .	det vere nå nokon hundre meter med arbeid det vere nokså billig $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV DET;PL NUM;PL INDF;MASC;N;PL ADP INDF;N;NEUT;PL 3;NEUT;PRO;SG FIN;IND;PRS;V ADV ADJ;INDF;NEUT;SG _
e ja det måtte du gjere til slutt ja .	e ja det måtte du gjere til slutt ja $.	_ INTJ 3;NEUT;PRO;SG FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V ADP INDF;MASC;N;SG INTJ _
.	$.	_
hadde eg lest opp mjølka # og e .	ha eg lesse opp mjølk # og e $.	FIN;IND;PST;V 1;HUM;NOM;PRO;SG V;V.PTCP ADP DEF;FEM;N;SG _ CONJ _ _
det er da det var # kanskje tre hundre mil kvartmil frå vardø .	det vere da det vere # kanskje tre hundre mil kvartmil frå vardø $.	3;NEUT;PRO;SG FIN;IND;PRS;V ADV 3;NEUT;PRO;SG FIN;IND;PST;V _ ADV NUM;PL NUM;PL FEM;INDF;N;PL FEM;INDF;N;PL ADP PROPN _
vi trudde # e dei tyske forsvarsbåtane også flyet som var at dei # skaut opp rakettar og signaliserte til e til kvarandre .	vi tru # e dei tysk forsvarsbåt også fly som vere at dei # skyte opp rakett og signalisere til e til kvarandre $.	1;HUM;NOM;PL;PRO FIN;IND;PST;V _ _ DET;PL ADJ;PL DEF;MASC;N;PL ADV DEF;N;NEUT;SG PRO FIN;IND;PST;V CONJ 3;HUM;NOM;PL;PRO _ FIN;IND;PST;V ADP INDF;MASC;N;PL CONJ FIN;IND;PST;V ADP _ ADP ACC;HUM;PL;PRO _
og så da v- heldt den se- den # kjelen den heldt da til .	og så da v- halde den se- den # kjele den halde da til $.	CONJ ADV ADV _ FIN;IND;PST;V DET;MASC;SG _ DET;MASC;SG _ DEF;MASC;N;SG 3;NOM;PRO;SG FIN;IND;PST;V ADV ADP _
så eg køyrde jo mjølka til mysen .	så eg køyre jo mjølk til mysen $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV DEF;FEM;N;SG ADP PROPN _
ja .	ja $.	INTJ _
ja # eitt øre literen # omtrent .	ja # ein øre liter # omtrent $.	INTJ _ DET;NEUT;SG INDF;N;NEUT;SG DEF;MASC;N;SG _ ADV _
mm .	mm $.	INTJ _
sporlaust den stod # hadde # kontakt med ein par tre andre vardøbåtane dei snakka i i telefon med kvarandre # og det var det siste dei høyrde frå han .	sporlaus den stå # ha # kontakt med ein par tre annan vardøbåt dei snakke i i telefon med kvarandre # og det vere det sist dei høyre frå han $.	ADJ;INDF;NEUT;SG 3;NOM;PRO;SG FIN;IND;PST;V _ FIN;IND;PST;V _ INDF;MASC;N;SG ADP DET;MASC;SG INDF;N;NEUT;SG NUM;PL DET;PL DEF;MASC;N;PL 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADP INDF;MASC;N;SG ADP ACC;HUM;PL;PRO _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG ADJ;DEF;SG 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP 3;ACC;MASC;PRO;SG _
å ja såleis ja .	å ja såleis ja $.	INTJ INTJ ADV INTJ _
men så køyrde vi til byen og hadde # tjue kroner # for e # lass inn å lass heim .	men så køyre vi til by og ha # tjue krone # for e # lass inn å lass heim $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;MASC;N;SG ADV FIN;IND;PST;V _ NUM;PL FEM;INDF;N;PL _ ADP _ _ INDF;N;NEUT;SG ADP ADP INDF;N;NEUT;SG ADP _
det var ikkje noko # meir det .	det vere ikkje noko # mykje det $.	3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART 3;ACC;NEUT;PRO;SG _ ADJ 3;NEUT;PRO;SG _
så langt ute var vi .	så lang ute vere vi $.	ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V 1;HUM;NOM;PL;PRO _
.	$.	_
ja da .	ja da $.	INTJ ADV _
.	$.	_
blei du kontrollert ?	bli du kontrollere $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG V;V.PTCP _
for køyrde du ei stund med generator ?	for køyre du ein stund med generator $?	ADP FIN;IND;PST;V 2;HUM;NOM;PRO;SG DET;FEM;SG FEM;INDF;N;SG ADP INDF;MASC;N;SG _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
ja vi køyrde # eg køyrde nå veldig mykje religiøse på religiøse møte og sånn .	ja vi køyre # eg køyre nå veldig mykje religiøs på religiøs møte og sånn $.	INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG ADJ;PL ADP ADJ;PL INDF;N;NEUT;PL CONJ ADV _
ja korleis var den å køyre med ?	ja korleis vere den å køyre med $?	INTJ ADV FIN;IND;PST;V 3;NOM;PRO;SG PART NFIN;V ADP _
mm .	mm $.	INTJ _
så det var billig .	så det vere billig $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _
køyre buss og da blei det heitte # øss- b- eidsberg bilruter .	køyre buss og da bli det heite # øss- b- eidsberg bilrute $.	NFIN;V INDF;MASC;N;SG CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG FIN;IND;PST;V _ PROPN _ PROPN FEM;INDF;N;PL _
ned ... .	ned … $.	ADP _ _
nei # nei .	nei # nei $.	INTJ _ INTJ _
se- der kjem han og han e1 sa eg # han kjem nå tan- han # han har nå kurs akkurat der som vi a- som han hadde lina han hadde mist noka line .	se- der komme han og han e1 seie eg # han komme nå tan- han # han ha nå kurs akkurat der som vi a- som han ha line han ha miste nokon line $.	_ ADV FIN;IND;PRS;V 3;MASC;NOM;PRO;SG CONJ 3;MASC;NOM;PRO;SG PROPN FIN;IND;PST;V 1;HUM;NOM;PRO;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADV _ 3;MASC;NOM;PRO;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADV INDF;MASC;N;SG ADV ADV PRO 1;HUM;NOM;PL;PRO _ PRO 3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;FEM;N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V V;V.PTCP DET;FEM;SG FEM;INDF;N;SG _
ja .	ja $.	INTJ _
og det første eg begynte # å køyre til byen # så måtte eg vere i byen når ho var fem om morgonen .	og det første eg begynne # å køyre til by # så må eg vere i by når ho vere fem om morgon $.	CONJ DET;NEUT;SG ADJ;DEF;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ PART NFIN;V ADP DEF;MASC;N;SG _ ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V CONJ DEF;MASC;N;SG CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V NUM;PL ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
# ja # ja .	# ja # ja $.	_ INTJ _ INTJ _
mm .	mm $.	INTJ _
