в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
удачная посадка ракеты spacex	удачный посадка ракета spacex	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG PROPN
я богат , как набоб , солнцем залитых , гомонящих монет я не берегу , при себе у меня столько золотых , сколько гальки речной здесь , на берегу !	я богатый , как набоб , солнце залить , гомонить монета я не беречь , при себя у я столько золотой , сколько галька речной здесь , на берег !	1;NOM;PRO;SG ADJ;MASC;SG _ CONJ ANIM;MASC;N;NOM;SG _ INAN;INS;N;NEUT;SG GEN;PASS;PFV;PL;PST;V;V.PTCP _ ACT;GEN;IPFV;PL;PRS;V;V.PTCP FEM;GEN;INAN;N;PL 1;NOM;PRO;SG NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V _ ADP DAT;PRO ADP 1;GEN;PRO;SG NOM;NUM GEN;INAN;MASC;N;PL _ NOM;NUM FEM;INAN;N;NOM;PL ADJ;FEM;GEN;SG ADV _ ADP ESS;INAN;MASC;N;SG _
любви ♥ , мудрости ☝ , терпения 👼 и сил 💪 !!! 🌼 👪	любовь ♥ , мудрость ☝ , терпение 👼 и сила 💪 !!! 🌼 👪	FEM;GEN;INAN;N;SG _ _ FEM;GEN;INAN;N;SG _ _ GEN;INAN;N;NEUT;SG _ CONJ FEM;GEN;INAN;N;PL _ _ _ _
цена 1344	цена 1344	FEM;INAN;N;NOM;SG NUM
- серёжа , займи очередь .	- сережа , занять очередь .	_ ANIM;MASC;NOM;PROPN;SG _ 2;ACT;FIN;IMP;PFV;SG;V ACC;FEM;INAN;N;SG _
по крайней мере они пытались сдохнуть .	по крайний мера они пытаться сдохнуть .	ADP ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG 3;NOM;PL;PRO FIN;IND;IPFV;MID;PL;PST;V ACT;NFIN;PFV;V _
имею же я право на своё собственное мнение от выбора дантиста до выбора всего остального , а вот это навязывание меня раздражает .	иметь же я право на свой собственный мнение от выбор дантист до выбор весь остальной , а вот этот навязывание я раздражать .	1;ACT;FIN;IND;IPFV;PRS;SG;V PART 1;NOM;PRO;SG ACC;INAN;N;NEUT;SG ADP ACC;DET;NEUT;SG ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG ADP GEN;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG ADP GEN;INAN;MASC;N;SG DET;GEN;NEUT;SG ADJ;GEN;NEUT;SG _ CONJ PART DET;NEUT;NOM;SG INAN;N;NEUT;NOM;SG 1;ACC;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
растворы для ингаляторов ( небулайзеров )	раствор для ингаляторов ( небулайзеров )	INAN;MASC;N;NOM;PL ADP GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;PL _
жидкие обои в наличии и под заказ .	жидкий обои в наличие и под заказ .	ADJ;NOM;PL INAN;MASC;N;NOM;PL ADP ESS;INAN;N;NEUT;SG CONJ ADP ACC;INAN;MASC;N;SG _
я - за !	я - за !	1;NOM;PRO;SG _ V _
да есть , вторая комната , площадью 9 метров .... на 5 человек .	да быть , второй комната , площадь 9 метр .... на 5 человек .	PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ FEM;INAN;INS;N;SG NUM GEN;INAN;MASC;N;PL _ ADP NUM ANIM;GEN;MASC;N;PL _
было бы не плохо 😆😈 "	быть бы не плохой 😆😈 "	ACT;FIN;IND;IPFV;NEUT;PST;SG;V COND;PART NEG;PART ADJ;NEUT;SG _ _
rt @xxxxxx : активистов " яблока " запугивают и избивают .	rt @xxxxxx : активист " яблоко " запугивать и избивать .	N _ _ ACC;ANIM;MASC;N;PL _ GEN;INAN;NEUT;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PL;PRS;V CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V _
партия " яблоко " представила в цик списки своих кандидатов на выборах	партия " яблоко " представить в цик список свой кандидат на выборы	FEM;INAN;N;NOM;SG _ INAN;NEUT;NOM;PROPN;SG _ ACT;FEM;FIN;IND;PFV;PST;SG;V ADP ESS;INAN;MASC;PROPN;SG ACC;INAN;MASC;N;PL DET;GEN;PL ANIM;GEN;MASC;N;PL ADP ESS;INAN;MASC;N;PL
парнас прогнулся перед украиной по крыму	парнас прогнуться перед украина по крым	INAN;MASC;NOM;PROPN;SG FIN;IND;MASC;MID;PFV;PST;SG;V ADP FEM;INAN;INS;PROPN;SG ADP ESS;INAN;MASC;PROPN;SG
да и не проголосует там 2/3 , они половину голосов уже с трудом набирают , там единороссы раскололись .	да и не проголосовать там 2/3 , они половина голос уже с труд набирать , там единоросс расколоться .	CONJ PART NEG;PART 3;ACT;FIN;FUT;IND;PFV;SG;V ADV NUM _ 3;NOM;PL;PRO ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;PL ADV ADP INAN;INS;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V _ ADV INAN;MASC;N;NOM;PL FIN;IND;MID;PFV;PL;PST;V _
тогда мужчинам предписали не увиливать от социальной ответственности за женщину и ребенка , а создавать семью .	тогда мужчина предписать не увиливать от социальный ответственность за женщина и ребенок , а создавать семья .	ADV ANIM;DAT;MASC;N;PL ACT;FIN;IND;PFV;PL;PST;V NEG;PART ACT;IPFV;NFIN;V ADP ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADP ACC;ANIM;FEM;N;SG CONJ ACC;ANIM;MASC;N;SG _ CONJ ACT;IPFV;NFIN;V ACC;FEM;INAN;N;SG _
не не не , кроме истории про депутата сидякина в антарктиде была история про то , как жирик его увольнял - но может я путаю !	не не не , кроме история про депутат сидякин в антарктида быть история про то , как жирик он увольнял - но мочь я путать !	NEG;PART NEG;PART NEG;PART _ ADP FEM;GEN;INAN;N;SG ADP ACC;ANIM;MASC;N;SG ANIM;GEN;MASC;PROPN;SG ADP ESS;FEM;INAN;PROPN;SG ACT;FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;N;NOM;SG ADP ACC;INAN;NEUT;PRO;SG _ CONJ ANIM;MASC;NOM;PROPN;SG 3;ACC;MASC;PRO;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V 1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _
солнце смуглой рукой травы ворошит , в золоченой печи яблоки печет , каждый лист на ветвях золотом прошит , и река золотой лавою течет .	солнце смуглый рука трава ворошить , в золоченый печь яблоко печь , каждый лист на ветвь золото прошить , и река золотой лава течь .	INAN;N;NEUT;NOM;SG ADJ;FEM;INS;SG FEM;INAN;INS;N;SG ACC;FEM;INAN;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ADP ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ACC;INAN;N;NEUT;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ESS;INAN;N;NEUT;PL INAN;INS;N;NEUT;SG 3;ACT;FIN;FUT;IND;PFV;SG;V _ CONJ FEM;INAN;N;NOM;SG ADJ;FEM;INS;SG FEM;INAN;INS;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
мне самой ты чертовски нужен ...	я сам ты чертовски нужный ...	1;DAT;PRO;SG ADJ;DAT;FEM;SG 2;NOM;PRO;SG ADV ADJ;MASC;SG _
- 2 ст. ложки кагора ,	- 2 столовый ложка кагор ,	_ NUM ADJ FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG _
но такое случается сплошь и рядом .	но такой случаться сплошь и рядом .	CONJ DET;NEUT;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADV CONJ ADV _
rt @yabloko : министра спорта , человека - мутко пора отправлять в отставку .	rt @yabloko : министр спорт , человек - мутко пора отправлять в отставка .	N PROPN _ ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _ ANIM;GEN;MASC;N;SG _ ADV FEM;INAN;N;NOM;SG ACT;IPFV;NFIN;V ADP ACC;FEM;INAN;N;SG _
1 . подбородок опустите к шее .	1 . подбородок опустить к шея .	NUM _ ACC;INAN;MASC;N;SG 2;ACT;FIN;FUT;IND;PFV;PL;V ADP DAT;FEM;INAN;N;SG _
супер простые рисунки животных ✏	супер простой рисунок животное ✏	_ ADJ;NOM;PL INAN;MASC;N;NOM;PL ANIM;GEN;N;NEUT;PL _
всеволод , вы же лицо " гражданской силы " , вам что стыдно быть похожим на депутата главенствующей партии рфстыдно !	всеволод , вы же лицо " гражданский сила " , вы что стыдно быть похожий на депутат главенствующий партия рф+стыдный !	INAN;MASC;NOM;PROPN;SG _ 2;NOM;PL;PRO PART ANIM;N;NEUT;NOM;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ _ 2;DAT;PL;PRO INAN;NEUT;NOM;PRO;SG ADV ACT;IPFV;NFIN;V ADJ;INS;MASC;SG ADP ACC;ANIM;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADJ;NEUT;SG _
ведь этот цветок цветёт для меня !	ведь этот цветок цвести для я !	PART DET;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP 1;GEN;PRO;SG _
для этого нужно в большую кастрюлю налить воды , поставить её на огонь .	для это нужный в большой кастрюля налить вода , поставить она на огонь .	ADP GEN;INAN;NEUT;PRO;SG ADJ;NEUT;SG ADP ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ACT;NFIN;PFV;V ACC;FEM;INAN;N;PL _ ACT;NFIN;PFV;V 3;ACC;FEM;PRO;SG ADP ACC;INAN;MASC;N;SG _
брехун жириновский ...	брехун жириновский ...	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG _
— а какой у меня акцент ?	— а какой у я акцент ?	_ CONJ DET;MASC;NOM;SG ADP 1;GEN;PRO;SG INAN;MASC;N;NOM;SG _
диалог в музее города тирасполя :	диалог в музей город тирасполь :	INAN;MASC;N;NOM;SG ADP ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG _
маразм крепчает !!!	маразм крепчать !!!	INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
а тут по статье как раз иностранные остаются . ))))	а тут по статья как раз иностранный оставаться . ))))	CONJ ADV ADP DAT;FEM;INAN;N;SG CONJ ACC;INAN;MASC;N;SG ADJ;NOM;PL 3;FIN;IND;IPFV;MID;PL;PRS;V _ _
страна россия .	страна россия .	FEM;INAN;N;NOM;SG FEM;INAN;NOM;PROPN;SG _
@xxxxxx надо к пиндосской делегации , жириновского экскурсоводом назначить .	@xxxxxx надо к пиндосский делегация , жириновский экскурсовод назначить .	_ V ADP ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG _ ACC;ANIM;MASC;PROPN;SG INAN;INS;MASC;N;SG ACT;NFIN;PFV;V _
утром смотрю смс от мужа : — 1:22 ты где ?	утро смотреть смс от муж : — 1:22 ты где ?	INAN;INS;N;NEUT;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG ADP ANIM;GEN;MASC;N;SG _ _ _ 2;NOM;PRO;SG ADV _
жириновский , стерлигов , крошениникова : как быть , что делать via @youtube	жириновский , стерлигов , крошениников : как быть , что делать via @youtube	ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG _ ANIM;FEM;NOM;PROPN;SG _ ADV ACT;IPFV;NFIN;V _ ACC;INAN;NEUT;PRO;SG ACT;IPFV;NFIN;V _ PROPN
упражнение выполните 3 раза по 7 секунд ..	упражнение выполнить 3 раз по 7 секунда ..	ACC;INAN;N;NEUT;SG 2;ACT;FIN;IMP;PFV;PL;V NUM GEN;INAN;MASC;N;SG ADP NUM FEM;GEN;INAN;N;PL _
rt @xxxxxx : депутат госдумы ирина чиркова подложила очередную свинью лдпр	rt @xxxxxx : депутат госдума ирина чирков подложить очередной свинья лдпр	N _ _ ANIM;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG ACT;FEM;FIN;IND;PFV;PST;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG FEM;GEN;INAN;PROPN;SG
партия парнас обратилась в наш мид , чтоб им разрешили агитировать в оккупированном крыму .	партия парнас обратиться в наш мид , чтоб они разрешить агитировать в оккупировать крым .	FEM;INAN;N;NOM;SG INAN;MASC;NOM;PROPN;SG FEM;FIN;IND;MID;PFV;PST;SG;V ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;PROPN;SG _ COND;CONJ 3;DAT;PL;PRO ACT;FIN;IND;PFV;PL;PST;V ACT;IPFV;NFIN;V ADP ESS;MASC;PASS;PFV;PST;SG;V;V.PTCP ESS;INAN;MASC;PROPN;SG _
депутат госдумы назвал гимн украины экстремистским : чубинский " дышит ядом на рф "	депутат госдума назвать гимн украина экстремистский : чубинский " дышать яд на рф "	ANIM;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG ADJ;INS;MASC;SG _ ANIM;MASC;NOM;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V INAN;INS;MASC;N;SG ADP FEM;INAN;INS;PROPN;SG _
щас ты получишь у меня !!!	щас ты получить у я !!!	ADV 2;NOM;PRO;SG 2;ACT;FIN;FUT;IND;PFV;SG;V ADP 1;GEN;PRO;SG _
и пусть выйдет ерунда , зато хоть попытались .	и пусть выйти ерунда , зато хоть попытаться .	CONJ PART 3;ACT;FIN;FUT;IND;PFV;SG;V FEM;INAN;N;NOM;SG _ CONJ PART FIN;IND;MID;PFV;PL;PST;V _
милое фото ❤	милый фото ❤	ADJ;NEUT;NOM;SG GEN;INAN;N;NEUT;SG _
взрослеют - делают осознанный выбор , иногда не в пользу мировоззрения отца и матери .	взрослеть - делать осознать выбор , иногда не в польза мировоззрение отец и мать .	3;ACT;FIN;IND;IPFV;PL;PRS;V _ 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;PASS;PFV;PST;SG;V;V.PTCP ACC;INAN;MASC;N;SG _ ADV NEG;PART ADP ACC;FEM;INAN;N;SG GEN;INAN;N;NEUT;SG ANIM;GEN;MASC;N;SG CONJ ANIM;FEM;GEN;N;SG _
ты то позер самый обычный , тут все ясно .	ты то позер самый обычный , тут всё ясный .	2;NOM;PRO;SG PART ANIM;MASC;N;NOM;SG ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG _ ADV INAN;NEUT;NOM;PRO;SG ADJ;NEUT;SG _
результаты конкурса будут подведены 10 декабря с помощью приложения randompromo !	результат конкурс быть подвести 10 декабрь с помощь приложение randompromo !	INAN;MASC;N;NOM;PL GEN;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V PASS;PFV;PL;PST;V;V.PTCP NUM GEN;INAN;MASC;N;SG ADP FEM;INAN;INS;N;SG GEN;INAN;N;NEUT;SG _ _
и где альтернатива	и где альтернатива	CONJ ADV FEM;INAN;N;NOM;SG
борзость чиновников перешла грань терпимости .	борзость чиновник перейти грань терпимость .	FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;PL ACT;FEM;FIN;IND;PFV;PST;SG;V ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG _
старая 45-минутная передача с пауком и боровом , где слово " например " не звучит ни разу , а слово " содомия " — всего единожды .	старый 45-минутный передача с паук и боров , где слово " например " не звучать ни раз , а слово " содомия " — всего единожды .	ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ADP ANIM;INS;MASC;PROPN;SG CONJ ANIM;INS;MASC;PROPN;SG _ ADV INAN;N;NEUT;NOM;SG _ ADV _ NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V NEG;PART INAN;MASC;N;PRT;SG _ CONJ INAN;N;NEUT;NOM;SG _ FEM;INAN;N;NOM;SG _ _ PART ADV _
партия парнас - сборище пиндоских проституток , которых не желают даже даром	партия парнас - сборище пиндосский проститутка , который не желать даже даром	FEM;INAN;N;NOM;SG INAN;MASC;NOM;PROPN;SG _ INAN;N;NEUT;NOM;SG ADJ;GEN;PL ANIM;FEM;GEN;N;PL _ ACC;PRO NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V PART ADV
