« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
spaans : bob y bobette , bob y bobet	spaans : bob y bobette , bob y bobet	NEUT;PROPN;SG _ _ _ _ _ _ _ _
parijs-roubaix , daarentegen , heeft geen hellingen maar telt wel heel wat kasseistroken , die er veel zwaarder - lees heroïscher - bij liggen dan in vlaanderen .	parijs-roubaix , daarentegen , hebben geen helling maar tellen wel heel wat kasseistrook , die er veel zwaar - lezen heroïsch - bij liggen dan in vlaanderen .	NEUT;PROPN;SG _ ADV _ FIN;PRS;SG;V DET N;PL CONJ FIN;PRS;SG;V ADV ADJ 3;PRO N;PL _ PRO ADV PRO ADJ;CMPR _ FIN;PRS;SG;V ADJ;CMPR _ ADP FIN;PL;PRS;V CONJ ADP NEUT;PROPN;SG _
de rolverdeling was :	de rolverdeling zijn :	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V _
van 1946 tot 1992 bestond er ook een stripweekblad met de naam « kuifje » .	van 1946 tot 1992 bestaan er ook een stripweekblad met de naam « kuifje » .	ADP NUM ADP NUM FIN;PST;SG;V ADV ADV DET;INDF N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _ MASC+FEM;PROPN;SG _ _
de uitslagen van de provincieraadsverkiezingen sinds 1994	de uitslag van de provincieraadsverkiezing sinds 1994	DEF;DET N;PL ADP DEF;DET N;PL ADP NUM
ook was urbanus dat jaar één suggestie voor de nominatie voor de grootste belg in vlaanderen , maar hij haalde de uiteindelijke nominatielijst niet en eindigde op nr. 34 van degenen die buiten de nominaties vielen .	ook zijn urbanus dat jaar één suggestie voor de nominatie voor de groot belg in vlaanderen , maar hij halen de uiteindelijk nominatielijst niet en eindigen op nummer 34 van degene die buiten de nominatie vallen .	ADV FIN;PST;SG;V MASC+FEM;PROPN;SG DET N;NEUT;SG NUM MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ;RL MASC+FEM;PROPN;SG ADP NEUT;PROPN;SG _ CONJ 3;NOM;PRO FIN;PST;SG;V DEF;DET ADJ MASC+FEM;N;SG ADV CONJ FIN;PST;SG;V ADP N;NEUT;SG NUM ADP PRO PRO ADP DEF;DET N;PL FIN;PL;PST;V _
om de tien jaar wordt een groot horticultureel festival gehouden , waarbij de markt , die tot de grootste in vlaanderen behoort , volledig met bloemen wordt bedekt .	om de tien jaar worden een groot horticultureel festival houden , waarbij de markt , die tot de groot in vlaanderen behoren , volledig met bloem worden bedekken .	ADP DEF;DET NUM N;NEUT;SG FIN;PRS;SG;V DET;INDF ADJ ADJ N;NEUT;SG V;V.PTCP _ ADV DEF;DET MASC+FEM;N;SG _ PRO ADP DEF;DET ADJ;RL ADP NEUT;PROPN;SG FIN;PRS;SG;V _ ADJ ADP N;PL FIN;PRS;SG;V V;V.PTCP _
nieuw-vlaamse alliantie	nieuw-vlaamse alliantie	PROPN PROPN
salons voor schone kunsten	salon voor schoon kunst	N;PL ADP ADJ N;PL
eerder wou laurent al twee foto's van zijn pasgeboren tweeling verkopen aan een tabloid , waarvoor hij 15.000 euro vroeg .	eerder willen laurent al twee foto van zijn pasgeboren tweeling verkopen aan een tabloid , waarvoor hij 15.000 euro vragen .	ADJ FIN;PST;SG;V MASC+FEM;PROPN;SG ADV NUM N;PL ADP 3;PRO ADJ MASC+FEM;N;SG NFIN;V ADP DET;INDF MASC+FEM;N;SG _ ADV 3;NOM;PRO NUM MASC+FEM;N;SG FIN;PST;SG;V _
daarop kreeg albert veel kritiek omdat een koning volgens de grondwet geacht wordt zich afzijdig te houden in het politieke gebeuren .	daarop krijgen albert veel kritiek omdat een koning volgens de grondwet achten worden zich afzijdig te houden in het politiek gebeuren .	ADV FIN;PST;SG;V MASC+FEM;PROPN;SG DET MASC+FEM;N;SG CONJ DET;INDF MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG V;V.PTCP FIN;PRS;SG;V 3;ACC;PRO;REFL ADJ ADP NFIN;V ADP DEF;DET ADJ N;NEUT;SG _
constant permeke	constant permeke	PROPN PROPN
resultaat was dat de geallieerde linie nog intact was , maar dat wellington nog maar één grote formatie zware cavalerie over had : de nederlandse brigade van trip .	resultaat zijn dat de alliëren linie nog intact zijn , maar dat wellington nog maar één groot formatie zwaar cavalerie over hebben : de nederlands brigade van trip .	N;NEUT;SG FIN;PST;SG;V CONJ DEF;DET V;V.PTCP MASC+FEM;N;SG ADV ADJ FIN;PST;SG;V _ CONJ CONJ MASC+FEM;PROPN;SG ADV ADV NUM ADJ MASC+FEM;N;SG ADJ MASC+FEM;N;SG ADP FIN;PST;SG;V _ DEF;DET ADJ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _
daags na de verkiezingen verzocht voorzitter somers de interne tuchtcommissie om senator jean-marie dedecker uit de partij te zetten , omdat hij zorgde voor te veel onrust binnen de partij .	daags na de verkiezing verzoeken voorzitter somers de intern tuchtcommissie om senator jean-marie dedecker uit de partij te zetten , omdat hij zorgen voor te veel onrust binnen de partij .	ADV ADP DEF;DET N;PL FIN;PST;SG;V MASC+FEM;N;SG MASC+FEM;PROPN;SG DEF;DET ADJ MASC+FEM;N;SG ADP MASC+FEM;N;SG PROPN PROPN ADP DEF;DET MASC+FEM;N;SG ADP NFIN;V _ CONJ 3;NOM;PRO FIN;PST;SG;V ADP ADV PRO MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG _
leopold joris christiaan frederik ( coburg , 16 december 1790 -- laken , 10 december 1865 ) , prins van saksen-coburg-saalfeld , hertog van saksen , was van 1831 tot 1865 de eerste koning der belgen .	leopold joris christiaan frederik ( coburg , 16 december 1790 -- laken , 10 december 1865 ) , prins van saksen-coburg-saalfeld , hertog van saksen , zijn van 1831 tot 1865 de één koning de belg .	PROPN PROPN PROPN PROPN _ NEUT;PROPN;SG _ NUM MASC+FEM;PROPN;SG NUM _ NEUT;PROPN;SG _ NUM MASC+FEM;PROPN;SG NUM _ _ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ FIN;PST;SG;V ADP NUM ADP NUM DEF;DET ADJ MASC+FEM;N;SG DEF;DET PL;PROPN _
justine henin wordt door haar supporters ook wel « juju » genoemd .	justine henin worden door haar supporter ook wel « juju » noemen .	PROPN PROPN FIN;PRS;SG;V ADP 3;PRO N;PL ADV ADV _ MASC+FEM;PROPN;SG _ V;V.PTCP _
cultuuragenda en online stadsgids voor brussel	cultuuragenda en online stadsgids voor brussel	MASC+FEM;N;SG CONJ ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG
het plantin-moretusmuseum	het plantin-moretusmuseum	DEF;DET NEUT;PROPN;SG
de officiële taal is het nederlands , met uitzondering van enkele faciliteitengemeenten rond brussel en langs de taalgrens waar franstaligen taalfaciliteiten genieten .	de officieel taal zijn het nederlands , met uitzondering van enkel faciliteitengemeente rond brussel en langs de taalgrens waar franstalig taalfaciliteit genieten .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V DEF;DET NEUT;PROPN;SG _ ADP MASC+FEM;N;SG ADP DET N;PL ADP NEUT;PROPN;SG CONJ ADP DEF;DET MASC+FEM;N;SG ADV ADJ N;PL FIN;PL;PRS;V _
brabant 900 jaar in 2006	brabant 900 jaar in 2006	NEUT;PROPN;SG NUM N;NEUT;SG ADP NUM
de provincie heeft een oppervlakte van 4443 km2 en telt ( op 1 juli 2005 ) 257.114 inwoners .	de provincie hebben een oppervlakte van 4443 km² en tellen ( op 1 juli 2005 ) 257.114 inwoner .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V DET;INDF MASC+FEM;N;SG ADP NUM _ CONJ FIN;PRS;SG;V _ ADP NUM MASC+FEM;PROPN;SG NUM _ NUM N;PL _
de trofee is een diamanten tennisracket ter waarde van 1 miljoen euro .	de trofee zijn een diamant tennisracket te waarde van 1 miljoen euro .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V DET;INDF N;PL N;NEUT;SG ADP MASC+FEM;N;SG ADP NUM N;NEUT;SG MASC+FEM;N;SG _
haar zus , zijn tante mimi , overleed twee jaar later .	haar zus , zijn tante mimi , overlijden twee jaar laat .	3;PRO MASC+FEM;N;SG _ 3;PRO MASC+FEM;N;SG MASC+FEM;PROPN;SG _ FIN;PST;SG;V NUM N;NEUT;SG ADJ;CMPR _
lijst van universiteiten ( onder 1.1 . )	lijst van universiteit ( onder 1.1 . )	MASC+FEM;N;SG ADP N;PL _ ADP _ _ _
brussel-centraal	brussel-centraal	NEUT;PROPN;SG
« de ambassadeur » ( 2000 , roman )	« de ambassadeur » ( 2000 , roman )	_ DEF;DET MASC+FEM;N;SG _ _ NUM _ MASC+FEM;N;SG _
hij wordt echter ook opgeroepen als soldaat en wordt ingezet bij de verdediging van luik .	hij worden echter ook oproepen als soldaat en worden inzetten bij de verdediging van luik .	3;NOM;PRO FIN;PRS;SG;V ADV ADV V;V.PTCP ADP MASC+FEM;N;SG CONJ FIN;PRS;SG;V V;V.PTCP ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG _
het is één van de populairste koersen voor wielertoeristen .	het zijn één van de populair koers voor wielertoerist .	3;PRO FIN;PRS;SG;V NUM ADP DEF;DET ADJ;RL N;PL ADP N;PL _
2de ronde : kim clijsters ( 1 ) - jelena janlovic : 5-7 , 6-2 , 6-2	2 ronde : kim clijsters ( 1 ) - jelena janlovic : 5-7 , 6-2 , 6-2	ADJ MASC+FEM;N;SG _ PROPN PROPN _ NUM _ _ PROPN PROPN _ _ _ _ _ _
verenigde nederlandse staten	verenigen nederlands staat	V;V.PTCP ADJ N;PL
onder steve stevaert werkte de partij verder aan de vernieuwing en verbreding die door voorganger patrick janssens ( burgemeester van antwerpen sinds 10 juni 2003 ) was ingezet , onder meer met een ideologische herbronning ( « het groot onderhoud » ) , de naamsverandering van sp naar sp.a ( « sp anders » ) in 2002 met en de samenwerking met het links-liberale spirit met .	onder steve stevaert werken de partij ver aan de vernieuwing en verbreding die door voorganger patrick janssens ( burgemeester van antwerpen sinds 10 juni 2003 ) zijn inzetten , onder veel met een ideologisch herbronning ( « het groot onderhoud » ) , de naamsverandering van sp naar sp.a ( « sp anders » ) in 2002 met en de samenwerking met het links-liberaal spirit met .	ADP PROPN PROPN FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADJ;CMPR ADP DEF;DET MASC+FEM;N;SG CONJ MASC+FEM;N;SG PRO ADP MASC+FEM;N;SG PROPN PROPN _ MASC+FEM;N;SG ADP NEUT;PROPN;SG ADP NUM MASC+FEM;PROPN;SG NUM _ FIN;PST;SG;V V;V.PTCP _ ADP PRO ADP DET;INDF ADJ MASC+FEM;N;SG _ _ DEF;DET ADJ N;NEUT;SG _ _ _ DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG ADP MASC+FEM;PROPN;SG _ _ MASC+FEM;PROPN;SG ADV _ _ ADP NUM ADP CONJ DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ PROPN;SG;{MASC+FEM/NEUT} ADP _
de betrokkenen waren , naast boulenger zelf , joseph coosemans , edouard huberti , louis crepin , jules raeymaekers , alfons asselbergs , henri van der hecht en jules montigny .	de betrekken zijn , naast boulenger zelf , joseph coosemans , edouard huberti , louis crepin , jules raeymaekers , alfons asselbergs , henri van der hecht en jules montigny .	DEF;DET V;V.PTCP FIN;PL;PST;V _ ADP MASC+FEM;PROPN;SG ADV _ PROPN PROPN _ PROPN PROPN _ PROPN PROPN _ PROPN PROPN _ PROPN PROPN _ PROPN PROPN PROPN PROPN CONJ PROPN PROPN _
alternatieve biersoorten worden wel gemaakt uit :	alternatief biersoort worden wel maken uit :	ADJ N;PL FIN;PL;PRS;V ADV V;V.PTCP ADP _
bart staes ( ex-europarlementariër voor spirit )	bart staes ( ex-europarlementariër voor spirit )	PROPN PROPN _ MASC+FEM;N;SG ADP PROPN;SG;{MASC+FEM/NEUT} _
tenten : grieks , turks	tent : grieks , turks	N;PL _ NEUT;PROPN;SG _ NEUT;PROPN;SG
een paar weken wachtte hij werkeloos op het landgoed malmaison bij parijs .	een paar week wachten hij werkeloos op het landgoed malmaison bij parijs .	DET;INDF N;NEUT;SG N;PL FIN;PST;SG;V 3;NOM;PRO ADJ ADP DEF;DET N;NEUT;SG MASC+FEM;PROPN;SG ADP NEUT;PROPN;SG _
populariteit en invloed	populariteit en invloed	MASC+FEM;N;SG CONJ MASC+FEM;N;SG
simon stevin	simon stevin	PROPN PROPN
departementen	departement	N;PL
in deze strips worden de komische avonturen uit de fictieve jeugd van urbanus uit de doeken gedaan in zijn woonplaats tollembeek .	in deze strip worden de komisch avontuur uit de fictief jeugd van urbanus uit de doek doen in zijn woonplaats tollembeek .	ADP DET N;PL FIN;PL;PRS;V DEF;DET ADJ N;PL ADP DEF;DET ADJ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG ADP DEF;DET N;PL V;V.PTCP ADP 3;PRO MASC+FEM;N;SG NEUT;PROPN;SG _
« overgestapt naar de vld » :	« overstappen naar de vld » :	_ V;V.PTCP ADP DEF;DET MASC+FEM;PROPN;SG _ _
de kgl ( king's german legion ) werd verdreven , de hoeve werd door de fransen ingenomen .	de kgl ( king's german legion ) worden verdrijven , de hoeve worden door de fransman innemen .	DEF;DET MASC+FEM;PROPN;SG _ _ _ _ _ FIN;PST;SG;V V;V.PTCP _ DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADP DEF;DET PL;PROPN V;V.PTCP _
1946 - « het dwaallicht » , novelle	1946 - « het dwaallicht » , novelle	NUM _ _ DEF;DET N;NEUT;SG _ _ MASC+FEM;N;SG
na de federale verkiezingen van 2003 gingen de paarse partijen verder zonder groen ! .	na de federaal verkiezing van 2003 gaan de paars partij ver zonder groen ! .	ADP DEF;DET ADJ N;PL ADP NUM FIN;PL;PST;V DEF;DET ADJ N;PL ADJ;CMPR ADP PROPN PROPN _
in maart 2006 wordt nele lijnen senator voor de partij na coöptatie door de vld .	in maart 2006 worden nele lijnen senator voor de partij na coöptatie door de vld .	ADP MASC+FEM;PROPN;SG NUM FIN;PRS;SG;V PROPN PROPN MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG _
dit was de kans voor het nabijgelegen dorp oudenaarde om tot ontwikkeling te komen .	dit zijn de kans voor het nabijgelegen dorp oudenaarde om tot ontwikkeling te komen .	3;PRO FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ N;NEUT;SG NEUT;PROPN;SG ADP ADP MASC+FEM;N;SG ADP NFIN;V _
1968 - eric leman ( bel )	1968 - eric leman ( bel )	NUM _ PROPN PROPN _ NEUT;PROPN;SG _
stanford	stanford	NEUT;PROPN;SG
tijdens de zomermaanden wordt de frequentie nog opgevoerd en zendt men dagelijks een aflevering uit .	tijdens de zomermaand worden de frequentie nog opvoeren en zenden men dagelijks een aflevering uit .	ADP DEF;DET N;PL FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADV V;V.PTCP CONJ FIN;PRS;SG;V 3;NOM;PRO ADJ DET;INDF MASC+FEM;N;SG ADP _
bovenaan spant een vaandel met de tekst " vive la sociale " ( opkomst van de socialistische partij ) .	bovenaan spannen een vaandel met de tekst " vive la sociale " ( opkomst van de socialistisch partij ) .	ADV FIN;PRS;SG;V DET;INDF N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _ _ _ _ _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG _ _
op sommige plaatsen is de bodem verontreinigd door de industrie .	op sommig plaats zijn de bodem verontreinigen door de industrie .	ADP DET N;PL FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG V;V.PTCP ADP DEF;DET MASC+FEM;N;SG _
geeraerts verwierf bekendheid met " black venus " , het eerste boek uit zijn gangreen-cyclus dat in vlaanderen heel wat stof deed opwaaien omwille van de al dan niet vermeend racistische en pornografische inslag .	geeraerts verwerven bekendheid met " black venus " , het één boek uit zijn gangreen-cyclus dat in vlaanderen heel wat stof doen opwaaien omwille van de al dan niet vermeend racistisch en pornografisch inslag .	MASC+FEM;PROPN;SG FIN;PST;SG;V MASC+FEM;N;SG ADP _ _ _ _ _ DEF;DET ADJ N;NEUT;SG ADP 3;PRO MASC+FEM;PROPN;SG 3;PRO ADP NEUT;PROPN;SG ADJ 3;PRO MASC+FEM;N;SG FIN;PST;SG;V NFIN;V ADV ADP DEF;DET ADV ADV ADV ADJ ADJ CONJ ADJ MASC+FEM;N;SG _
xavier tricot ( 1994 ) - ensoriana ; pandora , antwerpen	xavier tricot ( 1994 ) - ensoriana ; pandora , antwerpen	PROPN PROPN _ NUM _ _ MASC+FEM;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG
na enkele weken van informatiegespreken door elio di rupo kon de regering zonder veel moeite verder regeren als ' paars zonder groen ' .	na enkel week van informatiegesprek door elio di rupo kunnen de regering zonder veel moeite ver regeren als ' paars zonder groen ' .	ADP DET N;PL ADP N;PL ADP PROPN PROPN PROPN FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP DET MASC+FEM;N;SG ADJ;CMPR NFIN;V ADP _ ADJ ADP ADJ _ _
zie ook	zien ook	FIN;PRS;SG;V ADV
het verbindt de eiermarkt en de schoenmarkt .	het verbinden de eiermarkt en de schoenmarkt .	3;PRO FIN;PRS;SG;V DEF;DET MASC+FEM;PROPN;SG CONJ DEF;DET MASC+FEM;PROPN;SG _
deze werkte de laatste ( zeven ) bestellingen af , waarna zij op 30 november 1994 ook failliet ging .	deze werken de laat ( zeven ) bestelling af , waarna zij op 30 november 1994 ook failliet gaan .	PRO FIN;PST;SG;V DEF;DET ADJ;RL _ NUM _ N;PL ADP _ ADV 3;NOM;PRO ADP NUM MASC+FEM;PROPN;SG NUM ADV ADJ FIN;PST;SG;V _
dit in tegenstelling tot het christelijke acv en het socialistische abvv die bestaan uit verschillende vakgroepen .	dit in tegenstelling tot het christelijk acv en het socialistisch abvv die bestaan uit verschillend vakgroep .	3;PRO ADP MASC+FEM;N;SG ADP DEF;DET ADJ NEUT;PROPN;SG CONJ DEF;DET ADJ NEUT;PROPN;SG PRO FIN;PL;PRS;V ADP ADJ N;PL _
de vu had het in de beginjaren niet echt makkelijk .	de vu hebben het in de beginjaar niet echt makkelijk .	DEF;DET MASC+FEM;PROPN;SG FIN;PST;SG;V 3;PRO ADP DEF;DET N;PL ADV ADJ ADJ _
chiro bevere , eine , melden	chiro bevere , eine , melden	MASC+FEM;N;SG NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG
slachtofferbejegening ,	slachtofferbejegening ,	MASC+FEM;N;SG _
de vlaamse gemeenschap .	de vlaamse gemeenschap .	DEF;DET PROPN PROPN _
vanaf het midden van de veertiende eeuw werd europa getroffen door een economische depressie en de pest of " zwarte dood " zorgde ervoor dat een derde van de bevolking uitgeroeid werd .	vanaf het midden van de veertien eeuw worden europa treffen door een economisch depressie en de pest of " zwart dood " zorgen ervoor dat een drie van de bevolking uitroeien worden .	ADP DEF;DET N;NEUT;SG ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V NEUT;PROPN;SG V;V.PTCP ADP DET;INDF ADJ MASC+FEM;N;SG CONJ DEF;DET MASC+FEM;N;SG CONJ _ ADJ MASC+FEM;N;SG _ FIN;PST;SG;V ADV CONJ DET;INDF ADJ ADP DEF;DET MASC+FEM;N;SG V;V.PTCP FIN;PST;SG;V _
de provinciale besturen hebben evenwel weinig gewicht .	de provinciaal bestuur hebben evenwel weinig gewicht .	DEF;DET ADJ N;PL FIN;PL;PRS;V ADV DET N;NEUT;SG _
na de oorlog wordt hij in december 1945 benoemd tot directeur van het nationaal hoger instituut en de koninklijke academie te antwerpen , als opvolger van isidore opsomer .	na de oorlog worden hij in december 1945 benoemen tot directeur van het nationaal hoger instituut en de koninklijke academie te antwerpen , als opvolger van isidore opsomer .	ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V 3;NOM;PRO ADP MASC+FEM;PROPN;SG NUM V;V.PTCP ADP MASC+FEM;N;SG ADP DEF;DET PROPN PROPN PROPN CONJ DEF;DET PROPN PROPN ADP NEUT;PROPN;SG _ ADP MASC+FEM;N;SG ADP PROPN PROPN _
reglement en samenwerking	reglement en samenwerking	N;NEUT;SG CONJ MASC+FEM;N;SG
de engelsen ontvingen de middengarde met een salvo en een bajonetcharge , terwijl de nederlanders hun artillerie hun werk lieten doen .	de engelsman ontvangen de middengarde met een salvo en een bajonetcharge , terwijl de nederlander hun artillerie hun werk laten doen .	DEF;DET PL;PROPN FIN;PL;PST;V DEF;DET MASC+FEM;N;SG ADP DET;INDF N;NEUT;SG CONJ DET;INDF MASC+FEM;N;SG _ CONJ DEF;DET PL;PROPN 3;PRO MASC+FEM;N;SG 3;PRO N;NEUT;SG FIN;PL;PST;V NFIN;V _
japans : susuka tó wisuka	japans : susuka tó wisuka	ADJ _ PROPN PROPN PROPN
« de rol van de media »	« de rol van de media »	_ DEF;DET MASC+FEM;N;SG ADP DEF;DET N;PL _
de confrontatie met de noordzee zou constant permeke aan de vlaamse polders binden .	de confrontatie met de noordzee zullen constant permeke aan de vlaams polder binden .	DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG FIN;PST;SG;V PROPN PROPN ADP DEF;DET ADJ N;PL NFIN;V _
monseigneur stillemans ; bisschop van gent	monseigneur stillemans ; bisschop van gent	MASC+FEM;N;SG MASC+FEM;PROPN;SG _ MASC+FEM;N;SG ADP NEUT;PROPN;SG
de publieke verontwaardiging bereikte een hoogtepunt tijdens de ' witte mars ' op 20 oktober 1996 .	de publiek verontwaardiging bereiken een hoogtepunt tijdens de ' wit mars ' op 20 oktober 1996 .	DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V DET;INDF N;NEUT;SG ADP DEF;DET _ ADJ MASC+FEM;PROPN;SG _ ADP NUM MASC+FEM;PROPN;SG NUM _
dirk van bastelaere , dichter	dirk van bastelaere , dicht	PROPN PROPN PROPN _ ADJ;CMPR
in europees verband wordt sinds 1984 net als de vvd het europees verkiezingsprogramma gevolgd van de partij van europese liberalen en democraten ( en radicalen ) ( eldr ) en samengewerkt in één liberaal-democratische fractie in het europees parlement als d66-delegatie en vvd-delegatie wordt .	in europees verband worden sinds 1984 net als de vvd het europees verkiezingsprogramma volgen van de partij van europese liberalen en democraten ( en radicalen ) ( eldr ) en samenwerken in één liberaal-democratisch fractie in het europees parlement als d66-delegatie en vvd-delegatie worden .	ADP ADJ N;NEUT;SG FIN;PRS;SG;V ADP NUM ADV CONJ DEF;DET MASC+FEM;PROPN;SG DEF;DET ADJ N;NEUT;SG V;V.PTCP ADP DEF;DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN _ MASC+FEM;PROPN;SG _ CONJ V;V.PTCP ADP NUM ADJ MASC+FEM;N;SG ADP DEF;DET PROPN PROPN ADP MASC+FEM;N;SG CONJ MASC+FEM;N;SG FIN;PRS;SG;V _
op 16 oktober bevestigde de tuchtcommissie het besluit .	op 16 oktober bevestigen de tuchtcommissie het besluit .	ADP NUM MASC+FEM;PROPN;SG FIN;PST;SG;V DEF;DET MASC+FEM;N;SG DEF;DET N;NEUT;SG _
andere oorlogsmonumenten zijn een herdenkingszuil voor amerikaanse infanteriesoldaten die in de eerste wereldoorlog in oudenaarde de schelde overstaken en het monument van tacambaro op het gelijknamige plein , opgericht ter nagedachtenis van enkele tientallen oudenaardenaren die in de mexicaanse vrijheidsoorlog omkwamen en bestaande uit een liggende vrouw die richting mexico blikt .	ander oorlogsmonument zijn een herdenkingszuil voor amerikaans infanteriesoldaat die in de eerste wereldoorlog in oudenaarde de schelde oversteken en het monument van tacambaro op het gelijknamig plein , oprichten te nagedachtenis van enkel tiental oudenaardenaar die in de mexicaans vrijheidsoorlog omkomen en bestaan uit een liggen vrouw die richting mexico blikken .	ADJ N;PL FIN;PL;PRS;V DET;INDF MASC+FEM;N;SG ADP ADJ N;PL PRO ADP DEF;DET PROPN PROPN ADP NEUT;PROPN;SG DEF;DET MASC+FEM;PROPN;SG FIN;PL;PST;V CONJ DEF;DET N;NEUT;SG ADP MASC+FEM;PROPN;SG ADP DEF;DET ADJ N;NEUT;SG _ V;V.PTCP ADP MASC+FEM;N;SG ADP PRO N;PL N;PL PRO ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PL;PST;V CONJ V;V.PTCP ADP DET;INDF V;V.PTCP MASC+FEM;N;SG PRO MASC+FEM;N;SG NEUT;PROPN;SG FIN;PRS;SG;V _
de vlaamse vervoermaatschappij " de lijn " exploiteert het stadsvervoer in antwerpen met bussen en trams .	de vlaams vervoermaatschappij " de lijn " exploiteren het stadsvervoer in antwerpen met bus en tram .	DEF;DET ADJ MASC+FEM;N;SG _ PROPN PROPN _ FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG ADP N;PL CONJ N;PL _
