oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
ní mór 4 chóip den ghearrscéal a sheoladh roimh 1 feabhra 1997 go dtí : ' ceiliúradh an bhlascaoid ' , an bainisteoir , ionad an bhlascaoid mhóir , dún chaoin , trá lí , co. chiarraí .	is mór 4 cóip de gearrscéal a seoladh roimh 1 feabhra 1997 go dtí : ' ceiliúradh an bhlascaoid ' , an bainisteoir , ionad an bhlascaoid mór , dún caoin , trá lí , co. ciarraí .	NEG;PRS;V ADJ NUM FEM;N;SG ADP;SG MASC;N;SG PART N;NFIN ADP NUM FEM;N;SG NUM ADP ADP _ _ MASC;N;SG DEF;DET;SG MASC;PROPN;SG _ _ DEF;DET;SG DEF;MASC;N;SG _ MASC;N;SG DEF;DET;SG MASC;PROPN;SG ADJ;GEN;MASC;SG _ MASC;N;SG FEM;GEN;PROPN;SG _ FEM;N;SG FEM;GEN;N;SG _ _ MASC;PROPN;SG _
le cruthú nárbh eagal leis taobh amáin thar an taobh eile , rinne benedict casaoid ghéar leis an ghearmáin as díoltas a imirt ar phríosúnaigh chogaidh , rud a bhí , adúirt sé , glan i gcoinne dlí morálta na cogaíochta ; agus cháin sé an tír sin fosta as príosúnaigh bheilgeacha agus fhrancacha a sheoladh chun na gearmaine mar oibrithe .	le cruthú is eagal le taobh amháin thar an taobh eile , déan benedict casaoid géar le an gearmáin as díoltas a imirt ar príosúnach cogadh , rud a bí , adúirt sé , glan i gcoinne dlí morálta na cogaíocht ; agus cáin sé an tír sin fosta as príosúnach beilgeach agus francach a seoladh chun na gearmáin mar oibrí .	ADP N;NFIN NEG;PST;V MASC;N;SG 3;ADP;MASC;SG MASC;N;SG ADJ ADP DEF;DET;SG DEF;MASC;N;SG DET _ IND;PST;V MASC;PROPN;SG FEM;N;SG ADJ;FEM;SG ADP DEF;DET;SG DEF;FEM;PROPN;SG ADP MASC;N;SG PART N;NFIN ADP MASC;N;PL GEN;MASC;N;SG _ MASC;N;SG PART IND;PST;V _ FEM;N;SG 3;MASC;PRO;SG _ MASC;N;SG ADP ADP MASC;N;SG ADJ;MASC;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _ CONJ IND;PST;V 3;MASC;PRO;SG DEF;DET;SG FEM;N;SG DET ADV ADP MASC;N;PL ADJ;MASC;PL CONJ ADJ;MASC;PL PART N;NFIN ADP DEF;DET;FEM;GEN;SG FEM;GEN;N;SG ADP MASC;N;PL _
' ar cheannaigh tú aon mhilseáin ?	' ar ceannaigh tú aon milseán ?	_ PART;PST IND;PST;V 2;PRO;SG DET MASC;N;PL _
nuair atá an fhoinse faoi ghluaiseacht amach ón mbrathadóir , laghdaíonn airde an nóta fuaime agus tagann dath an tsolais le bheith níos deirge ( an deargaistriú ) .	nuair bí an foinse faoi gluaiseacht amach ó brathadóir , laghdaigh airde an nóta fuaim agus tar dath an solas le bheith níos deirge ( an aistriú ) .	CONJ IND;PRS;V DEF;DET;SG DEF;FEM;N;SG ADP N;NFIN ADV ADP;SG MASC;N;SG _ IND;PRS;V FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG FEM;GEN;N;SG CONJ IND;PRS;V MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP N;NFIN N;SG ADJ;{CMPR/RL} _ DEF;DET;SG N;NFIN _ _
chas marcas ' trup , trup , a chapaillín ' agus dhamhsaigh dónall a bhíodh ag freastal ar scoil dhamhsa uí chorragáin cornphíopa agus thionlaic sé féin é le port béil , rud a chur na gasúir faoi dhraíocht .	cas marcas ' trup , trup , a capaillín ' agus damhsaigh dónall a bí ag freastail ar scoil damhsa uí corragáin cornphíopa agus thionlaic sé féin é le port béal , rud a cur na gasúr faoi draíocht .	FEM;GEN;PROPN;SG MASC;PROPN;SG _ MASC;N;SG _ MASC;N;SG _ PART MASC;N;SG;VOC _ CONJ IND;PST;V MASC;PROPN;SG PART IMP;PST;V ADP N;V.MSDR ADP FEM;N;SG GEN;MASC;N;SG PART FEM;GEN;PROPN;SG MASC;N;SG CONJ IND;PST;V 3;MASC;PRO;SG PRO;REFL 3;MASC;PRO;SG ADP MASC;N;SG GEN;MASC;N;SG _ MASC;N;SG PART N;NFIN DEF;DET;PL MASC;N;PL ADP FEM;N;SG _
iarracht atá sa dráma seo an saol sin a thaispeáint di agus ní hamháin sin , ach í a bheith mar chuid den saol sin go deo trín í a chur ar an stáitse os comhair lucht féachana .	iarracht bí i dráma seo an saol sin a taispeáint do agus is amháin sin , ach í a bheith mar cuid de saol sin go deo trí í a cur ar an stáitse os comhair lucht féachaint .	FEM;N;SG IND;PRS;V ADP;SG DEF;MASC;N;SG DET DEF;DET;SG DEF;MASC;N;SG DET PART N;NFIN 3;ADP;FEM;SG CONJ NEG;PRS;V ADJ PRO _ CONJ 3;FEM;PRO;SG PART N;NFIN ADP FEM;N;SG ADP;SG DEF;MASC;N;SG DET ADP N;SG ADP 3;FEM;PRO;SG PART N;NFIN ADP DEF;DET;SG DEF;MASC;N;SG ADP ADP MASC;N;SG FEM;GEN;N;SG _
aonach a' phoic duine a bheadh ag ceannach capaill ní dhéanfadh sé margadh le tincéirí ar eagla go mbuailfí bob air faoi mar a buaileadh ar phádraig bán ar aonach a' phoic i gcill orglan uair .	aonach an poc duine a bí ag ceannach capall ní déan sé margadh le tincéir ar eagla go buail bob ar faoi mar a buail ar pádraig bán ar aonach an poc i cill orglan uair .	MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG MASC;N;SG PART COND;NEG;V ADP N;V.MSDR GEN;MASC;N;SG NEG;PART COND;NEG;V 3;MASC;PRO;SG MASC;N;SG ADP MASC;N;PL ADP FEM;N;SG PART COND;V MASC;N;SG 3;ADP;MASC;SG ADP CONJ PART IND;PST;V ADP MASC;PROPN;SG ADJ;MASC;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP GEN;MASC;PL;PROPN MASC;PROPN;SG FEM;N;SG _
ar an mbealach chun an ospidéil , bhí sé ag cuimhneamh siar ar ais tríd na blianta ina aigne .	ar an bealach chun an ospidéal , bí sé ag cuimhneamh siar ar ais trí na bliain i aigne .	ADP DEF;DET;SG MASC;N;SG ADP DEF;DET;SG DEF;GEN;MASC;N;SG _ IND;PST;V 3;MASC;PRO;SG ADP N;V.MSDR ADV ADV ADV ADP DEF;DET;PL DEF;FEM;N;PL 3;ADP;MASC;SG FEM;N;SG _
ní chailleann nuala codladh na hoíche níos mó ; ní mhothaíonn sí fuaim ná fothram lasmuigh ná laistigh , agus tá sí bodhar , fiú , do shrannfach an ghnúsaire ag a taobh .	ní caill nuala codladh na oíche níos mór ; ní mothaigh sí fuaim ná fothram lasmuigh ná laistigh , agus bí sí bodhar , fiú , do srannadh an ghnúsaire ag a taobh .	NEG;PART IND;NEG;PRS;V FEM;PROPN;SG FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG N;SG ADJ;{CMPR/RL} _ NEG;PART IND;NEG;PRS;V 3;FEM;PRO;SG FEM;N;SG CONJ MASC;N;SG ADV CONJ ADV _ CONJ IND;PRS;V 3;FEM;PRO;SG ADJ _ N;SG _ PART COND;V DEF;DET;SG MASC;N;SG ADP 3;DET;FEM;SG MASC;N;SG _
is í an difríocht is suntasaí , ar ndóigh , nach raibh an gá cumarsáide céanna i gceist i gcás na gaeilge agus a bhí ann i gcomhthéacs an ilteangachais a chothaigh athréimniú na heabhraise .	is í an difríocht is suntasach , ar dóigh , nach bí an gá cumarsáid céanna i ceist i cás na gaeilge agus a bí i i comhthéacs an ilteangachas a cothaigh réimniú na heabhraise .	PRS;V 3;FEM;PRO;SG DEF;DET;SG FEM;N;SG PART ADJ;{CMPR/RL} _ ADP FEM;N;SG _ NEG;PART IND;NEG;PST;V DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG ADJ ADP FEM;N;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG CONJ PART IND;PST;V 3;ADP;MASC;SG ADP MASC;N;SG DEF;DET;SG GEN;MASC;N;SG PART IND;PST;V N;NFIN DEF;DET;FEM;GEN;SG FEM;N;SG _
tabharfadsa náire fén bpoll dóibh .	tabharfads náire faoi poll do .	MASC;N;PL FEM;N;SG ADP;SG MASC;N;SG 3;ADP;PL _
' caithfidh tú brath ar na himreoirí áitiúla nuair atá tú i roinn 1 agus ansin cúpla duine eile a thabhairt isteach má thagann an t-ardú céime .	' caith tú brath ar na imreoir áitiúil nuair bí tú i roinn 1 agus ansin cúpla duine eile a tabhairt isteach má tar an ardú céim .	_ FUT;IND;V 2;PRO;SG MASC;N;SG ADP DEF;DET;PL DEF;MASC;N;PL ADJ;PL CONJ IND;PRS;V 2;PRO;SG ADP FEM;N;SG NUM CONJ ADV MASC;N;SG MASC;N;SG DET PART N;NFIN ADV CONJ IND;PRS;V DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG _
cé gur rogha na coitiantachta tiobraid árann chun craobh na mumhan a thógáil is beag atá idir an dhá fhoireann agus is cinnte go mbeidh nicky english ag cur go mór ina luí ar a chuid fear cé chomh héifeachtach a d' imir luimneach in aghaidh chorcaí sa chéad bhabhta den chraobh agus an cluiche in aghaidh phort láirge dha sheachtain ó shin .	cé is rogha na coitiantacht tiobraid árann chun craobh na mumhan a tógáil is beag bí idir an dó foireann agus is cinnte go bí nicky english ag cur go mór i luí ar a cuid fear cé chomh éifeachtach a do imir luimneach in aghaidh chorcaí i céad babhta de craobh agus an cluiche in aghaidh port láirge dó seachtain ó sin .	CONJ PRS;V FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG MASC;PROPN;SG PROPN ADP FEM;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;PROPN;SG PART N;NFIN PRS;V ADJ IND;PRS;V ADP DEF;DET;SG NUM FEM;N;SG CONJ PRS;V ADJ PART FUT;IND;V MASC;PROPN;SG GEN;MASC;PROPN;SG ADP N;V.MSDR PART ADJ 3;ADP;MASC;SG MASC;N;SG ADP 3;DET;MASC;SG FEM;N;SG GEN;MASC;N;PL CONJ ADV ADJ PART PART IND;PST;V MASC;PROPN;SG ADP ADP MASC;PROPN;SG ADP;SG NUM MASC;N;SG ADP;SG DEF;FEM;N;SG CONJ DEF;DET;SG DEF;MASC;N;SG ADP ADP MASC;N;SG N NUM FEM;N;SG ADP PRO _
fad nach mbeidh cinneadh glactha ag an gcomhairle , beidh feidhm fós ag an ngníomhaíocht chomhpháirteach .	fad nach bí cinneadh glactha ag an comhairle , bí feidhm fós ag an gníomhaíocht páirteach .	MASC;N;SG NEG;PART FUT;IND;NEG;V MASC;N;SG ADJ;V.PTCP ADP DEF;DET;SG FEM;N;SG _ FUT;IND;V FEM;N;SG ADV ADP DEF;DET;SG FEM;N;SG ADJ;FEM;SG _
céimeanna comparáide - aidiachtaí a chríochnaíonn ar chonsan leathan mall slow níos moille is moille leathan broad níos leithne is leithne caol narrow níos caoile is caoile daor dear níos daoire is daoire saor cheap , free níos saoire is saoire mear swift níos mire is mire fuar cold níos fuaire is fuaire bán white níos báine is báine ceolmhar musical níos ceolmhaire is ceolmhaire ciallmhar sensible níos ciallmhaire is ciallmhaire más aidiacht leathan í déan caol í agus cuir -e leis sna foirmeacha comparáide .	céim comparáid - aidiacht a críochnaigh ar consan leathan mall slow níos moille is moille leathan broad níos leathan is leathan caol narrow níos caol is caol daor dear níos daor is daor saor ceap , free níos saor is saor mear swift níos mear is mear fuar cold níos fuar is fuar bán whi níos bán is bán ceolmhar musical níos ceolmhar is ceolmhar ciallmhar sensible níos ciallmhar is ciallmhar má aidiacht leathan í déan caol í agus cuir -e le i foirm comparáid .	FEM;N;PL FEM;GEN;N;SG _ FEM;N;PL PART IND;PRS;V ADP MASC;N;SG ADJ;MASC;SG ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ MASC;N;SG _ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ ADJ;V.PTCP N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} ADJ _ N;SG ADJ;{CMPR/RL} PART ADJ;{CMPR/RL} CONJ FEM;N;SG ADJ;FEM;SG 3;FEM;PRO;SG 2;IMP;SG;V ADJ 3;FEM;PRO;SG CONJ 2;IMP;SG;V _ 3;ADP;MASC;SG ADP;PL FEM;N;PL FEM;GEN;N;SG _
ach rug an deireanas air agus bhí sé tugtha traochta nuair a bhain sé an baile amach .	ach beir an deireanas ar agus bí sé tugtha traochta nuair a bain sé an baile amach .	CONJ IND;PST;V DEF;DET;SG DEF;MASC;N;SG 3;ADP;MASC;SG CONJ IND;PST;V 3;MASC;PRO;SG GEN;N;NFIN ADJ;V.PTCP CONJ PART IND;PST;V 3;MASC;PRO;SG DEF;DET;SG DEF;MASC;N;SG ADV _
is é atá i gceist leis na heagrais dheonacha ná eagrais nach eagrais stáit iad ' .	is é bí i ceist le na eagras deonach ná eagras is eagras stát iad ' .	PRS;V 3;MASC;PRO;SG IND;PRS;V ADP FEM;N;SG ADP DEF;DET;PL DEF;MASC;N;PL ADJ;PL IMP;PART MASC;N;PL NEG;PRS;V MASC;N;PL GEN;MASC;N;SG 3;PL;PRO _ _
eisfhearadh : scaoileadh dramhaíle ó orgánach .	eisfhearadh : scaoileadh dramhaíola ó orgánach .	MASC;N;SG _ N;NFIN FEM;GEN;N;SG ADP MASC;N;SG _
bíonn suas le céad cineál éagsúil aimsire agus feiniméan aimsire san áireamh ag meitéareolaithe , ón gceobhrán go dtí tornádónna .	bí suas le céad cineál éagsúil aimsir agus feiniméan aimsir i áireamh ag meitéareolaí , ó ceobhrán go dtí tornádó .	V ADV ADP NUM MASC;N;SG ADJ;MASC;SG FEM;GEN;N;SG CONJ MASC;N;SG FEM;GEN;N;SG ADP;SG MASC;N;SG ADP MASC;N;PL _ ADP;SG MASC;N;SG ADP ADP MASC;N;PL _
tá urraíocht déanta ag údarás na gaeltachta ar an gclár seo .	bí urraíocht déanta ag údarás na gaeltacht ar an clár seo .	IND;PRS;V FEM;N;SG ADJ;V.PTCP ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP DEF;DET;SG MASC;N;SG DET _
ó 1996 , áfach , cuireadh tús le roinnt cúrsaí iarchéime .	ó 1996 , áfach , cuir tús le roinnt cúrsa céim .	ADP NUM _ ADV _ IND;PST;V MASC;N;SG ADP FEM;N;SG GEN;MASC;N;PL FEM;GEN;N;SG _
' ar ndóigh , caithfidh mé a dhul abhaile .	' ar dóigh , caith mé a dul abhaile .	_ ADP FEM;N;SG _ FUT;IND;V 1;PRO;SG PART N;NFIN ADV _
seán .	seán .	MASC;PROPN;SG _
nóta : i gcanúintí ultacha éagsúla athraíonn na rialacha i gcás séimhithe agus uraithe tar éis cha .	nóta : i gcanúin ultach éagsúil athraigh na riail i cás séimhiú agus uraigh tar éis cha .	MASC;N;SG _ ADP FEM;N;PL ADJ;GEN;PL ADJ;GEN;PL IND;PRS;V DEF;DET;PL DEF;FEM;N;PL ADP MASC;N;SG GEN;MASC;N;SG CONJ GEN;MASC;N;SG ADP ADP NEG _
ach féach cad a tharla !	ach féach cad a tarlaigh !	CONJ 2;IMP;SG;V V PART IND;PST;V _
rinneadh taibhreamh an oíche chéanna dúinn araon , domsa agus dósan , agus bhí a chiall féin do gach duine ina thaibhreamh féin .	déan taibhreamh an oíche céanna do araon , do agus do , agus bí a ciall féin do gach duine i taibhreamh féin .	IND;PST;V MASC;N;SG DEF;DET;SG DEF;FEM;N;SG ADJ;FEM;SG 1;ADP;PL ADV _ 1;ADP;SG CONJ 3;ADP;MASC;SG _ CONJ IND;PST;V 3;DET;MASC;SG FEM;N;SG PRO;REFL ADP DEF;DET MASC;N;SG ADP MASC;N;SG PRO;REFL _
an féidir leatsa pé rud atá idir lámha agat a bhailiú le chéile agus bogadh isteach san oifig thosaigh le susan ar feadh leathuaire nó mar sin ?	an féidir le pé rud bí idir lámh ag a bailiú le céile agus bog isteach i oifig tosach le susan ar feadh uair nó mar sin ?	PART N;SG 2;ADP;SG PRO MASC;N;SG IND;PRS;V ADP FEM;N;PL 2;ADP;SG PART N;NFIN ADP MASC;N;SG CONJ 3;IMP;SG;V ADV ADP;SG FEM;N;SG GEN;MASC;N;SG ADP FEM;PROPN;SG ADP ADP FEM;GEN;N;SG CONJ ADP DET _
cad ina thaobh ná haithneodh , ná fuil sé do mo mhúineadh ?	cad i taobh nach haithneodh , nach bí sé do mo múineadh ?	PRO 3;ADP;MASC;SG MASC;N;SG NEG;PART MASC;N;SG _ NEG;PART IND;PRS;V 3;MASC;PRO;SG ADP 1;DET;SG N;NFIN _
ar leath i ndiaidh a seacht ar maidin a caitheadh anuas an bhonnóg .	ar leath i ndiaidh a seacht ar maidin a caith anuas an bonnóg .	ADP FEM;N;SG ADP ADP PART NUM ADP FEM;N;SG PART IND;PST;V ADV DEF;DET;SG DEF;FEM;N;SG _
bhíodh conall ó dochartaigh ag airneál ag an mháistir go mion is go minic .	bí conall ó dochartaigh ag airneál ag an máistir go mion agus go minic .	IMP;PST;V MASC;PROPN;SG PART MASC;PROPN;SG ADP N;V.MSDR ADP DEF;DET;SG MASC;N;SG PART ADJ CONJ PART ADJ _
ní gá freastal uirthi .	is gá freastal ar .	NEG;PRS;V MASC;N;SG N;NFIN 3;ADP;FEM;SG _
cúig chaibidil atá i cfl agus trí mórthéama - gairm , comaoin , misean .	cúig caibidil bí i cfl agus trí téama - gairm , comaoin , misean .	NUM FEM;N;SG IND;PRS;V ADP _ CONJ NUM MASC;N;SG _ FEM;N;SG _ FEM;N;SG _ MASC;N;SG _
' san áireamh : cearta daonna bunú comhlachtaí deonacha cúiteamh timpiste comhairle do scoileanna gaeilge tí chulainn co. ard mhacha .	' i áireamh : ceart daonna bunú comhlacht deonach cúiteamh timpiste comhairle do scoil gaeilge tí chulann co. ard mhacha .	_ ADP;SG MASC;N;SG _ MASC;N;PL ADJ;MASC;PL MASC;N;SG GEN;MASC;N;PL ADJ;GEN;PL MASC;N;SG FEM;GEN;N;SG FEM;GEN;N;SG ADP FEM;N;PL FEM;GEN;PROPN;SG FEM;N;SG GEN;MASC;PROPN;SG _ GEN;MASC;PROPN;SG PROPN _
' ní fhaca sinne go dtí seo acht mí-ádh agus dí-mheas ar theanga d' óige .	' ní feic sinn go dtí seo ach mí-ádh agus meas ar teanga do óige .	_ NEG;PART IND;NEG;PST;V 1;PL;PRO ADP ADP PRO CONJ MASC;N;SG CONJ MASC;N;SG ADP FEM;N;SG ADP FEM;N;SG _
scoil dhara 3 - 4 scoil eoin 0 - 11 .	scoil dhara 3 - 4 scoil eoin 0 - 11 .	FEM;N;SG GEN;MASC;PROPN;SG NUM _ NUM FEM;N;SG GEN;MASC;PROPN NUM _ NUM _
cuireadh tús leis na ranganna ag bishopsgate institute ar 7 deireadh fómhair .	cuir tús le na rang ag bishopsgate institute ar 7 deireadh fómhar .	IND;PST;V MASC;N;SG ADP DEF;DET;PL MASC;N;PL ADP MASC;PROPN;SG MASC;PROPN;SG ADP NUM MASC;N;SG GEN;MASC;N;SG _
ní fios cén toradh a bheidh air , má éiríonn leis ach tá rud amháin cinnte - gur sna cúirteanna a chríochnóidh sé , ar nós ar tharla i gcás x. ní gnó don stát é a threorú dóibh conas ba chóir dóibh préamhú as an nua .	is fios cé toradh a bí ar , má éirigh le ach bí rud amháin cinnte - is i cúirt a críochnaigh sé , ar nós ar tarlaigh i cás x. is gnó do stát é a treorú do conas is cóir do préamhú as an nua .	NEG;PRS;V MASC;N;SG PRO;SG MASC;N;SG PART FUT;IND;V 3;ADP;MASC;SG _ CONJ IND;PRS;V 3;ADP;MASC;SG CONJ IND;PRS;V MASC;N;SG ADJ ADJ _ PRS;V ADP;PL FEM;N;PL PART FUT;IND;V 3;MASC;PRO;SG _ ADP ADP PART IND;PST;V ADP MASC;N;SG _ NEG;PRS;V MASC;N;SG ADP;SG MASC;N;SG 3;MASC;PRO;SG PART N;NFIN 3;ADP;PL ADV PST;V ADJ 3;ADP;PL N;NFIN ADP DEF;DET;SG ADJ _
tar éis tamaill , gan dabht , d' fhéadfainn sleamhnú liom aníos , agus suí go deas ón taobh eile den choca , agus chloisfinn gach aon ní .	tar éis tamall , gan dabht , do féad sleamhnú le aníos , agus suí go deas ó taobh eile de coca , agus clois gach aon ní .	ADP ADP GEN;MASC;N;SG _ ADP MASC;N;SG _ PART 1;COND;SG;V N;NFIN 1;ADP;SG ADV _ CONJ N;NFIN PART ADJ ADP;SG DEF;MASC;N;SG DET ADP;SG MASC;N;SG _ CONJ 1;COND;SG;V DEF;DET DET FEM;N;SG _
bhí caitríona sé bliana d' aois .	bí caitríona sé bliain de aois .	IND;PST;V FEM;PROPN;SG NUM DEF;FEM;N ADP FEM;N;SG _
an leatsa an teach ?	is le an teach ?	PRS;V 2;ADP;SG DEF;DET;SG DEF;MASC;N;SG _
is i vicar st i mbaile átha cliath a bheidh scoth amhránaithe óga na tíre seo ar an satharn an 20 aibreán agus iad ag súil le suim na gcomhlachtaí ceoil a mhúscailt .	is i vicar st i baile átha cliath a bí scoth amhránaí óg na tír seo ar an satharn an 20 aibreán agus iad ag súil le suim na comhlacht ceol a múscailt .	PRS;V ADP MASC;PROPN;SG _ ADP GEN;MASC;PL;PROPN GEN;MASC;PROPN;SG PROPN PART FUT;IND;V FEM;N;SG GEN;MASC;N;PL MASC;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG DET ADP DEF;DET;SG DEF;MASC;N;SG DEF;DET;SG NUM MASC;N;SG CONJ 3;PL;PRO ADP N;V.MSDR ADP FEM;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;N;PL GEN;MASC;N;SG PART N;NFIN _
is é is paitriarc ann , duine ar oibrigh cumhacht dé tríd chun an cine daonna a shlánú , duine ar gheall dia dó bheith páirteach in obair an tslánaithe sin .	is é is patrarc i , duine ar oibrigh cumhacht dia trí chun an cine daonna a slánú , duine ar geall dia do bheith páirteach i obair an tslánaithe sin .	PRS;V 3;MASC;PRO;SG PRS;V MASC;N;SG 3;ADP;MASC;SG _ MASC;N;SG PART;PST IND;PST;V FEM;N;SG GEN;MASC;N;SG 3;ADP;MASC;SG ADP DEF;DET;SG DEF;MASC;N;SG ADJ PART N;NFIN _ MASC;N;SG PART;PST IND;PST;V MASC;N;SG 3;ADP;MASC;SG N;NFIN ADJ ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET _
is cosúil go bhfuil an-tóir uilig ag barcó ( de barra & co ) ar bhrioscaí .	is cosúil go bí tóir uile ag barcó ( de barra & co ) ar briosca .	PRS;V ADJ PART IND;PRS;V DEF;FEM;N;SG DET ADP MASC;PROPN;SG _ ADP MASC;N;SG CONJ _ _ ADP MASC;N;PL _
is dóigh leis go bhfuil páirtíocht acu lena chéile , thar mar atá aige féin leis an mhuircheartach .	is dóigh le go bí páirtíocht ag le céile , thar mar bí ag féin le an mhuircheartach .	PRS;V FEM;N;SG 3;ADP;MASC;SG PART IND;PRS;V FEM;N;SG 3;ADP;PL 3;ADP;MASC;SG MASC;N;SG _ ADP CONJ IND;PRS;V 3;ADP;MASC;SG PRO;REFL ADP DEF;DET;SG MASC;N;SG _
agus , mar iar-iománaí den scoth , b' iontach an cúnamh a thugadh sé d' iníon nic suibhne le traenáil an fhoireann camógaíochta , inar ghearr go raibh mé féin sa chéad líne .	agus , mar iománaí de scoth , is iontach an cúnamh a tabhair sé do iníon nic suibhne le traenáil an foireann camógaíocht , i gearr go bí mé féin i céad líne .	CONJ _ ADP MASC;N;SG ADP;SG FEM;N;SG _ PST;V ADJ DEF;DET;SG MASC;N;SG PART IMP;PST;V 3;MASC;PRO;SG ADP FEM;N;SG PART FEM;PROPN;SG ADP FEM;N;SG DEF;DET;SG DEF;FEM;N;SG FEM;GEN;N;SG _ PART MASC;N;SG PART IND;PST;V 1;PRO;SG PRO;REFL ADP;SG NUM FEM;N;SG _
' maróidh tú uilig mé , ' ar sé .	' maraigh tú uile mé , ' ar sé .	_ FUT;IND;V 2;PRO;SG DET 1;PRO;SG _ _ IND;PST;V 3;MASC;PRO;SG _
d' ith sí an dinnéar .	do ith sí an dinnéar .	PART IND;PST;V 3;FEM;PRO;SG DEF;DET;SG DEF;MASC;N;SG _
tá sé ag iascaireacht .	bí sé ag iascaireacht .	IND;PRS;V 3;MASC;PRO;SG ADP N;V.MSDR _
ar labhair seán ?	ar labhair seán ?	PART;PST IND;PST;V MASC;PROPN;SG _
ní bhfuair an breathnach aon locht ar an tuairim sin , agus níorbh fhada go raibh an crócach féin ag athrú a phoirt toisc , ní foláir , go raibh brú á chur air ag a chuid sagart féin i gcaiseal .	ní faigh an breathnach aon locht ar an tuairim sin , agus is fada go bí an cróc féin ag athrú a port toisc , is foláir , go bí brú do cur ar ag a cuid sagart féin i caiseal .	NEG;PART IND;PST;V DEF;DET;SG DEF;MASC;PROPN;SG DET MASC;N;SG ADP DEF;DET;SG FEM;N;SG DET _ CONJ NEG;PST;V ADJ PART IND;PST;V DEF;DET;SG DEF;MASC;PROPN;SG PRO;REFL ADP N;V.MSDR 3;DET;MASC;SG GEN;MASC;N;SG FEM;N;SG _ NEG;PRS;V N;SG _ PART IND;PST;V MASC;N;SG 3;ADP;MASC;SG N;NFIN 3;ADP;MASC;SG ADP 3;DET;MASC;SG FEM;N;SG GEN;MASC;N;PL PRO;REFL ADP MASC;N;SG _
' athrá - nuair a úsáideann an file an focal céanna , nó an frása céanna , cúpla uair i ndiaidh a chéile tugtar athrá air sin .	' athrá - nuair a úsáid an file an focal céanna , nó an frása céanna , cúpla uair i ndiaidh a céile tabhair athrá ar sin .	_ MASC;N;SG _ CONJ PART IND;PRS;V DEF;DET;SG DEF;MASC;N;SG DEF;DET;SG DEF;MASC;N;SG ADJ _ CONJ DEF;DET;SG DEF;MASC;N;SG ADJ _ MASC;N;SG FEM;N;SG ADP ADP 3;DET;MASC;SG MASC;N;SG IND;PRS;V MASC;N;SG 3;ADP;MASC;SG PRO _
