eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
ar armeoù en em gann .	an arme en em kannañ .	DET FEM;N;PL _ PART;REFL 3;FIN;IND;PRS;SG;V _
er _ sal dour en em walc'hen .	e an sal dour en em gwalc’hañ .	ADP DET FEM;N;SG MASC;N;SG _ PART;REFL 1;FIN;IND;PST;SG;V _
kerzhout a rafen .	kerzhout a ober .	NFIN;V PART 1;COND;SG;V _
int a baeas tour ar bannac'hoù .	prpers a paeañ tour an bannac’h .	3;NOM;PL;PRO PART 3;FIN;PST;SG;V MASC;N;SG DET MASC;N;PL _
m' hopez c'hoant da gemer perzh en ur stourm sokial pe bolitikel , e vo ar bloavezh mat evit kregiñ e-barzh .	ma kaout c’hoant da kemer perzh e un stourm sokial pe politikel , e bezañ an bloavezh mat evit kregiñ e-barzh .	CONJ 2;FIN;HAB;PL;PRS;V MASC;N;SG ADP NFIN;V MASC;N;SG ADP DET MASC;N;SG ADJ CONJ ADJ _ PART 3;FIN;FUT;IND;SG;V DET MASC;N;SG ADJ ADP NFIN;V ADV _
chomet eo .	chom bezañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V _
ur gorread leur a 350 m2 a vo da bep hini hag hañval e vo o framm .	un gorread leur a 350 m² a bezañ da bep hini ha hañval e bezañ o framm .	DET MASC;N;SG FEM;N;SG ADP NUM;PL MASC;N PART 3;FIN;FUT;IND;SG;V ADP DET;SG PRO;SG CONJ ADJ PART 3;FIN;FUT;IND;SG;V DET MASC;N;SG _
hervez enklask an insee , kempoelloc'h hervez hervé abalain , graet e 1999 , e vefe 295 000 .	hervez enklask an insee , kempoell hervez hervé abalain , ober e 1999 , e bezañ 295 000 .	ADP MASC;N;SG DET MASC;N;SG _ ADJ;CMPR ADP PROPN;SG PROPN;SG _ PST;V;V.PTCP ADP NUM;PL _ PART 3;COND;SG;V _ NUM;PL _
lakait er r yenerez .	lakaat e an yenerez .	2;PL;V ADP DET FEM;N;SG _
disul , goude an oferenn , ar beleg a zo aet da c'hoari c'hartoù .	disul , goude an oferenn , an beleg a bezañ mont da c’hoari kartenn .	ADV _ ADP DET FEM;N;SG _ DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP NFIN;V FEM;N;PL _
a brient ar c'hinnigoù	a prientiñ an kinnig	PART 2;SG;V DET MASC;N;PL
tra ma vo mor 'vel mur 'n he zro , ra vezo digabestr ma bro !	tra ma bezañ mor evel mur un he tro , ra bezañ digabestr ma bro !	_ CONJ 3;FIN;FUT;IND;SG;V MASC;N;SG ADP FEM;N;SG DET DET;PSS FEM;N;SG _ OPT;PART 3;FIN;FUT;IND;SG;V ADJ DET FEM;N;SG _
d ar sadorn 2 ha sul 3 a viz even e vo aozet evit ar pevare gwech " devezh ar brezhoneg " e karaez gant ar gevredigezh dazont ar yezh .	da an sadorn 2 ha sul 3 a miz even e bezañ aozañ evit an pevare gwech " devezh an brezhoneg " e karaez gant an kevredigezh dazont an yezh .	ADP DET MASC;N NUM;PL CONJ MASC;N NUM;PL ADP _ MASC;N PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET ADJ FEM;N;SG _ MASC;N;SG DET MASC;N;SG _ ADP PROPN;SG ADP DET FEM;N;SG MASC;N;SG DET FEM;N;SG _
honnezh hedevoa barradoù follentez ha mervel a reas e 1615 .	honnezh kaout barrad follentez ha mervel a ober e 1615 .	FEM;PRO;SG 3;FEM;FIN;IND;PST;SG;V MASC;N;PL FEM;N;SG CONJ NFIN;V PART 3;FIN;PST;SG;V ADP NUM;PL _
labourit an toaz un tammig .	labourat an toaz un tammig .	2;FIN;IND;PL;PRS;V DET MASC;N;SG DET MASC;N;SG _
alies ne gavont ket e diabarzh o framm ar barregezhioù ret evit diorren implij ar yezh ouzhpenn-se .	alies ne kavout ket e diabarzh o framm an barregezh ret evit diorren implij an yezh ouzhpenn-se .	ADV ADV;NEG 3;FIN;IND;PL;PRS;V ADV ADP MASC;N;SG DET MASC;N;SG DET FEM;N;PL ADJ ADP NFIN;V MASC;N;SG DET FEM;N;SG ADV _
adwelet eo bet hounnezh , met n eus bet cheñchet netra enni nni , hag evel-se ne savo tabut ebet war ar 56 testenn - kemm a vez kinniget .	adwelet bezañ bezañ hounnezh , met ne bezañ bezañ cheñch netra e indirect , ha evel-se ne sevel tabut ebet war an 56 testenn - kemm a bezañ kinnig .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP FEM;PRO;SG _ CONJ ADV FIN;IND;PRS;V PST;V;V.PTCP PST;V;V.PTCP PRO;SG ADP 3;ACC;FEM;PRO;SG _ CONJ ADV ADV;NEG 3;FIN;FUT;IND;SG;V MASC;N;SG ADV ADP DET NUM;PL FEM;N;SG _ MASC;N;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP _
yannig a welit .	yannig a gwelout .	MASC;PROPN;SG PART 2;FIN;IND;PL;PRS;V _
domani arvorig an hanternoz	domani arvorig an hanternoz	MASC;N;SG PROPN;SG DET MASC;N;SG
ar c'heginañ eo an doare da aozañ boued evit magañ an dud .	an keginañ bezañ an doare da aozañ boued evit magañ an den .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP NFIN;V MASC;N;SG ADP NFIN;V DET MASC;N;PL _
breizh rannet e pemp departamant .	breizh rannañ e pemp departamant .	PROPN;SG PST;V;V.PTCP ADP NUM;PL MASC;N;SG _
war-dro 5.000 den odoa lestret e bigi ar gompagnunezh - vor penn-ar-bed evit mont da eusa , sun ha molenez e-kerzh an dibenn-sizhun pask tremen .	war-dro 5.000 den kaout lestriñ e bag an kompagnunezh - mor penn-ar-bed evit mont da eusa , sun ha molenez e-kerzh an dibenn-sizhun pask tremen .	ADV NUM;PL MASC;N;SG 3;FIN;IND;PL;PST;V PST;V;V.PTCP ADP FEM;N;PL DET FEM;N;SG _ MASC;N;SG PROPN;SG ADP NFIN;V ADP PROPN;SG _ PROPN;SG CONJ PROPN;SG ADP DET MASC;N;SG MASC;N;SG ADJ _
dispont 'kreiz ar brezel , hon tadoù ken mat , a skuilhas eviti i o gwad .	dispont e-kreiz an brezel , hon tad ken mat , a skuilhañ evit indirect o gwad .	ADJ ADP DET MASC;N;SG _ DET MASC;N;PL ADV ADJ _ PART 3;FIN;PST;SG;V ADP 3;ACC;FEM;PRO;SG DET MASC;N;SG _
ma ve prest e teuio lenaig da gêr .	ma bezañ prest e dont lenaig da kêr .	CONJ 3;COND;SG;V ADJ PART 3;FIN;FUT;IND;SG;V FEM;PROPN;SG ADP FEM;N;SG _
dimeurzh tremenet eo aet an traoù war-raok en iwerzhon an hanternoz .	dimeurzh tremen bezañ mont an tra war-raok e iwerzhon an hanternoz .	ADV PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET MASC;N;PL ADV ADP PROPN;SG DET MASC;N;SG _
ar wazed n' odeus ket gwelet an ti -se .	an gwaz ne kaout ket gwelout an ti se .	DET MASC;N;PL ADV;NEG 3;FIN;IND;PL;PRS;V ADV PST;V;V.PTCP DET MASC;N;SG ADV _
ur velo c'hlas ameus .	un belo glas kaout .	DET FEM;N;SG ADJ 1;FIN;IND;PRS;SG;V _
kontet gant ur paotrig , mab d' un den gwenn ha d' ur plac'h du , e tizho an istor -mañ tud a bep seurt oadoù .	kontañ gant un paotrig , mab da un den gwenn ha da un plac’h du , e tizhout an istor mañ den a bep seurt oad .	PST;V;V.PTCP ADP DET MASC;N;SG _ MASC;N;SG ADP DET MASC;N;SG ADJ CONJ ADP DET FEM;N;SG ADJ _ PART 3;FIN;FUT;IND;SG;V DET MASC;N;SG ADV MASC;N;PL ADP DET MASC;N;SG MASC;N;PL _
en em gavout a ra gant gauguin e 1888 .	en em kavout a ober gant gauguin e 1888 .	_ PART;REFL NFIN;V PART 3;FIN;IND;PRS;SG;V ADP PROPN;SG ADP NUM;PL _
ober a reot pep tra evit en em staliañ da vat , en ho puhez personel koulz hag en ho puhez labour .	ober a ober pep tra evit en em staliañ da mat , e ho buhez personel koulz hag e ho buhez labour .	NFIN;V PART 2;FIN;FUT;IND;PL;V _ ACC;PRO;SG ADP _ PART;REFL NFIN;V DET ADJ _ ADP DET FEM;N;SG ADJ _ CONJ ADP DET FEM;N;SG MASC;N;SG _
graet e vezont àr standilhonoù dastumet àr-eeun diouzh ar c'hogoù .	ober e bezañ àr standilhon dastum àr-eeun diouzh an kog .	PST;V;V.PTCP PART 3;FIN;HAB;PL;PRS;V ADP MASC;N;PL PST;V;V.PTCP ADV ADP DET MASC;N;PL _
me a vo o kanañ .	prpers a bezañ o kanañ .	1;NOM;PRO;SG PART 3;FIN;FUT;IND;SG;V PART NFIN;V _
an eil brezel - bed endeus skoet kalz tud e breizh , prizoniet , gloazet , kaset d ar c'hampoù bac'h pe gloazet .	an eil brezel - bed kaout skeiñ kalz den e breizh , prizoniañ , gloazañ , kas da an kamp bac’h pe gloazañ .	DET ADJ MASC;N;SG _ MASC;N;SG 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP ADP MASC;N;PL ADP PROPN;SG _ PST;V;V.PTCP _ PST;V;V.PTCP _ PST;V;V.PTCP ADP DET MASC;N;PL FEM;N;SG CONJ PST;V;V.PTCP _
an takad merket gant ar bir n' eo ket ur c'halaksienn met ur bouilh stered ha gaz a zeu eus unan eus ar galaksiennoù distummet gant efed ar gravitadur .	an takad merkañ gant an bir ne bezañ ket un galaksienn met un bouilh stered ha gaz a dont eus unan eus an galaksienn distummañ gant efed an gravitadur .	DET MASC;N;SG PST;V;V.PTCP ADP DET MASC;N;SG ADV;NEG 3;FIN;IND;PRS;SG;V ADV DET FEM;N;SG CONJ DET MASC;N;SG FEM;N;PL CONJ MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADP NUM;SG ADP DET FEM;N;PL PST;V;V.PTCP ADP MASC;N;SG DET MASC;N;SG _
skuizh-bras _ eo hi .	skuizh bras bezañ prpers .	ADJ ADV 3;FIN;IND;PRS;SG;V 3;FEM;NOM;PRO;SG _
marteze e kredas e oa an holl dud -se oc'h ober goap anezhañ _ .	marteze e krediñ e bezañ an holl den se o ober goap eus indirect .	ADV PART 3;FIN;PST;SG;V PART 3;FIN;IND;PST;SG;V DET DET MASC;N;PL ADV PART NFIN;V MASC;N;SG ADP 3;ACC;MASC;PRO;SG _
en _ india eo bet kemeret ar skeudennoù .	e an india bezañ bezañ kemer an skeudenn .	ADP DET PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET FEM;N;PL _
gwechall e oa kembraegerien unyezhek eus an holl gembreiz , koulz lavaret .	gwezhall e bezañ kembraeger unyezhek eus an holl kembread , koulz lavaret .	ADV PART 3;FIN;IND;PST;SG;V MASC;N;PL ADJ ADP DET DET MASC;N;PL _ _ ADV _
ur raktres bras e oa , pa oa anv da gaout un talbenn daou-ugent metr hed .	un raktres bras e bezañ , pa bezañ anv da kaout un talbenn daou-ugent metr hed .	DET MASC;N;SG ADJ PART 3;FIN;IND;PST;SG;V _ CONJ 3;FIN;IND;PST;SG;V MASC;N;SG ADP NFIN;V DET MASC;N;SG NUM;PL MASC;N;SG MASC;N;SG _
tarzhañ ne zegaso mann ebet deoc h .	tarzhañ ne degas mann ebet da indirect .	NFIN;V ADV;NEG 3;FIN;FUT;IND;SG;V _ ADV ADP 2;ACC;PL;PRO _
bez' e oa 180 719 a annezidi e 2010 .	bezañ e bezañ 180 719 a annezad e 2010 .	NFIN;V PART 3;FIN;IND;PST;SG;V _ NUM;PL ADP MASC;N;PL ADP NUM;PL _
ar re na zebront ket o boued a yelo d ar gwele .	ar re na debriñ ket o boued a mont da an gwele .	_ PRO;SG NEG;PART 3;FIN;IND;PL;PRS;V ADV DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V ADP DET MASC;N;SG _
bremañ ne lennont ket .	bremañ ne lenn ket .	ADV ADV;NEG 3;FIN;IND;PL;PRS;V ADV _
logo / galloud	logo / galloud	MASC;N;SG _ MASC;N;SG
n' emeus ket kavet ar mignon -se da ber .	ne kaout ket kavout an mignon se da per .	ADV;NEG 1;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DET MASC;N;SG ADV ADP MASC;PROPN;SG _
stummoù kozh ar c'hembraeg zo anavezet mat .	stumm kozh an kembraeg bezañ anavezout mat .	MASC;N;PL ADJ DET MASC;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADJ _
va breur a zo fur .	ma breur a bezañ fur .	DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADJ _
degasit d ar berv ar banne laezh .	degas da an berv an banne laezh .	2;PL;V ADP DET MASC;N;SG DET MASC;N;SG MASC;N;SG _
kalz risklusoc'h e vo beaj fk lannuon e gourenez kraozon .	kalz risklus e bezañ beaj fk lannuon e gourenez kraozon .	ADV ADJ;CMPR PART 3;FIN;FUT;IND;SG;V FEM;N;SG MASC;N;SG PROPN;SG ADP FEM;N;SG PROPN;SG _
beajoù a c'hellfe bezañ mat evit ho labour .	beaj a gellout bezañ mat evit ho labour .	FEM;N;PL PART 3;COND;SG;V NFIN;V ADJ ADP DET MASC;N;SG _
ar mab a welas ar plac'h yaouank anezhañ a oa deuet da labourat .	an mab a gwelout an plac’h yaouank direct a bezañ dont da labourat .	DET MASC;N;SG PART 3;FIN;PST;SG;V DET FEM;N;SG ADJ 3;ACC;MASC;PRO;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NFIN;V _
anavezout a ran tud na ouzont ket ar brezhoneg .	anavezout a ober den na gouzout ket an brezhoneg .	NFIN;V PART 1;FIN;IND;PRS;SG;V MASC;N;PL NEG;PART 3;FIN;IND;PL;PRS;V ADV DET MASC;N;SG _
lennet eo al levr gant lenaig .	lenn bezañ an levr gant lenaig .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP FEM;PROPN;SG _
met chom a ra bresk-tre -tre an traoù memes tra .	met chom a ober bresk tre an tra memes tra .	CONJ NFIN;V PART 3;FIN;IND;PRS;SG;V ADJ ADV DET MASC;N;PL _ ADV _
un elfenn genaozet gant mab-den eo , n' he c'haver ket en n natur .	un elfenn kenaozañ gant mab-den bezañ , ne direct kavout ket e an natur .	DET FEM;N;SG PST;V;V.PTCP ADP MASC;N;SG 3;FIN;IND;PRS;SG;V _ ADV;NEG 3;ACC;FEM;PRO;SG FIN;IND;PRS;V ADV ADP DET MASC;N;SG _
ne vo ket aes an traoù evito o siwazh ...	ne bezañ ket aes an tra evit indirect siwazh ...	ADV;NEG 3;FIN;FUT;IND;SG;V ADV ADJ DET MASC;N;PL ADP 3;ACC;PL;PRO ADV _
piv a wel yannig ?	piv a gwelout yannig ?	PRO PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _
ar vugale a ziskenn betek an hent .	an bugel a diskenn betek an hent .	DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG _
an urzhiataerezh pe ar " c'hompoderezh " eo ar skiant hag ar pleustr a denn d an urzhiataerioù .	an urzhiataerezh pe an " kompoderezh " bezañ an skiant ha an pleustr a tennañ da an urzhiataer .	DET MASC;N;SG CONJ DET _ MASC;N;SG _ 3;FIN;IND;PRS;SG;V DET FEM;N;SG CONJ DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;PL _
pedadenn evit daou zen .	pedadenn evit daou den .	FEM;N;SG ADP MASC;NUM;PL MASC;N;SG _
bodet e oa bet an teir rouantelezh dindan aotrouniezh roueed ha duged breizh en ixvet kantved .	bodañ e bezañ bezañ an tri rouantelezh dindan aotrouniezh roue ha dug breizh e ixvet kantved .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP DET FEM;NUM;PL FEM;N;SG ADP FEM;N;SG MASC;N;PL CONJ MASC;N;PL PROPN;SG ADP NUM;SG MASC;N;SG _
kemener eo va breur .	kemener bezañ ma breur .	MASC;N;SG 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
yann - fañch kemener zo unan eus gwellañ kanerien hengounel a vreizh .	yann - fañch kemener bezañ unan eus gwell kaner hengounel a breizh .	MASC;PROPN;SG _ MASC;PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V NUM;SG ADP ADJ;RL MASC;N;PL ADJ ADP PROPN;SG _
hañval-bras _ ouzh hini ar brezhoneg eo ereadurezh ar c'herneveureg .	hañval bras ouzh hini an brezhoneg bezañ ereadurezh an kerneveureg .	ADJ ADV ADP PRO;SG DET MASC;N;SG 3;FIN;IND;PRS;SG;V FEM;N;SG DET MASC;N;SG _
mont a rin d ar pardon .	mont a ober da an pardon .	NFIN;V PART 1;FIN;FUT;IND;SG;V ADP DET MASC;N;SG _
koulskoude e tiviz francis pediñ e zaou vreur d' ober ur veaj speredel e bro indez e-pad ur miz .	koulskoude e divizout francis pediñ e daou breur da ober un beaj speredel e bro indez e-pad un miz .	ADV PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG NFIN;V DET;PSS MASC;NUM;PL MASC;N;SG ADP NFIN;V DET FEM;N;SG ADJ ADP FEM;N;SG PROPN;SG ADP DET MASC;N;SG _
piv endeus prenet an ti ruz ?	piv kaout prenañ an ti ruz ?	PRO 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG ADJ _
e deroù an naontekvet kantved e oa , d’an nebeutañ , 80% eus an dud o komz kembraeg .	e deroù an naontekvet kantved e bezañ , d’an nebeutañ , 80 eus an den o komz kembraeg .	ADP MASC;N;SG DET ADJ MASC;N;SG PART 3;FIN;IND;PST;SG;V _ _ ADV _ NUM;PL ADP DET MASC;N;PL PART NFIN;V MASC;N;SG _
ho preudeur ne gavint ket a labour e pariz .	ho breur ne kavout ket a labour e pariz .	DET MASC;N;PL ADV;NEG 3;FIN;FUT;IND;PL;V ADV ADP MASC;N;SG ADP PROPN;SG _
evit echuiñ , kinnig a ra skol-veur breizh-izel un diplom skol-veur « yezhoù ha sevenadur breizh » .	evit echuiñ , kinnig a ober skol-meur breizh-izel un diplom skol-meur « yezh ha sevenadur breizh » .	ADP NFIN;V _ NFIN;V PART 3;FIN;IND;PRS;SG;V FEM;N;SG PROPN;SG DET MASC;N;SG FEM;N;SG _ FEM;N;PL CONJ MASC;N;SG PROPN;SG _ _
ur c'harr zo ganimp _ .	un karr bezañ gant indirect .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 1;ACC;PL;PRO _
morwenna e wel yann .	morwenna e gwelout yann .	FEM;PROPN;SG PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _
un nebeud strolladoù a vank c'hoazh er r programm , kit neuze da welout al liammoù kinniget amañ dindan evit gouzout hiroc'h .	un nebeud strollad a mankout c’hoazh e an programm , mont neuze da gwelout an liamm kinnig amañ dindan evit gouzout hir .	DET MASC;N;SG MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADV ADP DET MASC;N;SG _ 2;PL;V ADV ADP NFIN;V DET MASC;N;PL PST;V;V.PTCP _ ADV ADP NFIN;V ADJ;CMPR _
kement abadenn sevenadurel a denn da zanvez breizh a vez brudet gant pedadennoù divyezhek .	kement abadenn sevenadurel a tennañ da danvez breizh a bezañ brudañ gant pedadenn divyezhek .	DET;SG FEM;N;SG ADJ PART 3;FIN;IND;PRS;SG;V ADP MASC;N;SG PROPN;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADP FEM;N;PL ADJ _
an daou skipailh gant ar muiañ a boentoù a c'helle neuze pignat er r rummad 1 .	an daou skipailh gant an muiañ a poent a gellout neuze pignat e an rummad 1 .	DET MASC;NUM;PL MASC;N;SG ADP DET NFIN;V ADP MASC;N;PL PART 3;FIN;IND;PST;SG;V ADV NFIN;V ADP DET MASC;N;SG NUM;SG _
ar re odeus ezhomm groñs eus ur c'harr - saout ( 4x4 ) evit o micher ( labour-douar , labour er r c'hoadoù ) a vefe aotreet da gaout unan .	ar re kaout ezhomm groñs eus un karr - buoc’h ( 4x4 ) evit o micher ( labour-douar , labour e an koad ) a bezañ aotren da kaout unan .	_ PRO;SG 3;FIN;IND;PL;PRS;V MASC;N;SG ADJ ADP DET MASC;N;SG _ FEM;N;PL _ MASC;N;SG _ ADP DET FEM;N;SG _ MASC;N;SG _ MASC;N;SG ADP DET MASC;N;PL _ PART 3;COND;SG;V PST;V;V.PTCP ADP NFIN;V NUM;SG _
abaoe 2001 e vez kinniget arvestoù digor d an holl gant an ti-kêr .	abaoe 2001 e bezañ kinnig arvest digor da an holl gant an ti-kêr .	ADP NUM;PL PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP MASC;N;PL ADJ ADP DET PL;PRO ADP DET MASC;N;SG _
e lesneven e veze bemdez .	e lesneven e bezañ bemdez .	ADP PROPN;SG PART 3;FIN;HAB;PST;SG;V ADV _
p edon war bont an naoned , an deiz all o kanañ .	pa bezañ war pont an naoned , an deiz all o kanañ .	CONJ 1;FIN;IND;PST;SG;V ADP MASC;N;SG DET PROPN;SG _ DET MASC;N;SG ADJ PART NFIN;V _
treuzit an holl wiadoù , tennit ho nadoz er-maez en ur zilec’hiañ , hag all .	treuziñ an holl gwiad , tennañ ho nadoz er-maez en ur dilec’hiañ , hag all .	2;PL;V DET DET MASC;N;PL _ 2;PL;V DET FEM;N;SG ADV _ PART NFIN;V _ _ ADV _
bep miz e kinnig ar gelaouenn bremañ , abaoe 1980 , pennadoù brezhonek a bep seurt , diwar-benn breizh hag ar bed , kinniget brav , e doare ur magazin .	bep miz e kinnig an kelaouenn bremañ , abaoe 1980 , pennad brezhonek a bep seurt , diwar-benn breizh ha an bed , kinnig brav , e doare un magazin .	DET;SG MASC;N;SG PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG PROPN;SG _ ADP NUM;PL _ MASC;N;PL ADJ ADP DET;SG MASC;N;SG _ ADP PROPN;SG CONJ DET MASC;N;SG _ PST;V;V.PTCP ADJ _ ADP MASC;N;SG DET MASC;N;SG _
war-lerc'h eo chomet va yalc'h .	war-lerc’h bezañ chom ma yalc’h .	ADV 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG _
pedet eo an holl da lidañ 30 vloaz skolioù diwan .	pediñ bezañ an holl da lidañ 30 bloaz skol diwan .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET PL;PRO ADP NFIN;V NUM;PL MASC;N;SG FEM;N;PL PROPN;SG _
yann a wel morwenna .	yann a gwelout morwenna .	MASC;PROPN;SG PART 3;FIN;IND;PRS;SG;V FEM;PROPN;SG _
keodedourien , strollegezhioù , obererien armerzhel ...	keodedour , strollegezh , oberer armerzhel ...	MASC;N;PL _ FEM;N;PL _ MASC;N;PL ADJ _
an holl a oar dija piv a zeuy da gerampuilh d ar yaou 20 , setu kenkoulz eo lakaat ar gaoz war ar peurrest eus ar gouel .	an holl a gouzout dija piv a dont da kerampuilh da an yaou 20 , setu kenkoulz bezañ lakaat an kaoz war an peurrest eus an gouel .	DET PL;PRO PART 3;FIN;IND;PRS;SG;V ADV PRO PART 3;FIN;FUT;IND;SG;V ADP PROPN;SG ADP DET MASC;N NUM;PL _ ADV ADV 3;FIN;IND;PRS;SG;V NFIN;V DET FEM;N;SG ADP DET MASC;N;SG ADP DET MASC;N;SG _
n' hedeus ket labouret a-walc'h se .	ne kaout ket labourat a-walc’h se .	ADV;NEG 3;FEM;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADV PRO;SG _
pezhioù-c'hoari a bep seurt a vo kinniget e konk-kerne , pont-aven , sant-ivi , tregon .	pezh-c’hoari a bep seurt a bezañ kinnig e konk-kerne , pont-aven , sant-ivi , tregon .	MASC;N;PL ADP DET;SG MASC;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP PROPN;SG _ PROPN;SG _ PROPN;SG _ PROPN;SG _
n' int ket aet war-raok .	ne bezañ ket mont war-raok .	ADV;NEG 3;FIN;IND;PL;PRS;V ADV PST;V;V.PTCP ADV _
int a fell dezho _ c'hoari ganin _ .	prpers a fellout da indirect c’hoari gant indirect .	3;NOM;PL;PRO PART 3;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO NFIN;V ADP 1;ACC;PRO;SG _
kousket ameus .	kousket kaout .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V _
an holl arc'hant dastumet a servijo da seveniñ raktresoù pe da brenañ dafar evit gwellaat degemer ar vugale en n ospitalioù .	an holl arc’hant dastum a servijout da seveniñ raktres pe da prenañ dafar evit gwellaat degemer an bugel e an ospital .	DET DET MASC;N;SG PST;V;V.PTCP PART 3;FIN;FUT;IND;SG;V ADP NFIN;V MASC;N;PL CONJ ADP NFIN;V MASC;N;SG ADP NFIN;V NFIN;V DET MASC;N;PL ADP DET FEM;N;PL _
dre ar sevenadurioù .	dre an sevenadur .	ADP DET MASC;N;PL _
gant beg ur gontell , tresit linennoù war ar gorre .	gant beg un kontell , tresañ linenn war an gorre .	ADP MASC;N;SG DET FEM;N;SG _ 2;PL;V FEM;N;PL ADP DET MASC;N;SG _
va gwreg ne vo ket eno kennebeut .	ma gwreg ne bezañ ket eno kennebeut .	DET FEM;N;SG ADV;NEG 3;FIN;FUT;IND;SG;V ADV ADV ADV _
staliet e konk-kerne emañ .	staliañ e konk-kerne bezañ .	PST;V;V.PTCP ADP PROPN;SG 3;FIN;IND;PRS;SG;V _
pesketaer e vo yannig a-hed e vuhez .	pesketaer e bezañ yannig a-hed e buhez .	MASC;N;SG PART 3;FIN;FUT;IND;SG;V MASC;PROPN;SG ADP DET;PSS FEM;N;SG _
degas a ra ar statud ofisiel ur framm lezennel a-benn normalaat implij ur yezh vihanniver .	degas a ober an statud ofisiel un framm lezennel a-benn normalaat implij un yezh bihanniver .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADJ DET MASC;N;SG ADJ ADP NFIN;V MASC;N;SG DET FEM;N;SG MASC;N;SG _
da gemper e vin o vont .	da kemper e bezañ o mont .	ADP PROPN;SG PART 1;FIN;FUT;IND;SG;V PART NFIN;V _
ar saozneg e oa ar yezh ofisiel nemeti i e kembre .	an saozneg e bezañ an yezh ofisiel nemet indirect e kembre .	DET MASC;N;SG PART 3;FIN;IND;PST;SG;V DET FEM;N;SG ADJ ADP 3;ACC;FEM;PRO;SG ADP PROPN;SG _
n' eo ket implijet ar perzh -mañ gant ahel ar rummadoù .	ne bezañ ket implijout an perzh mañ gant ahel an rummad .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DET MASC;N;SG ADV ADP MASC;N;SG DET MASC;N;PL _
ar plac'h yaouank a weles dec'h a ya d ar pardon .	an plac’h yaouank a gwelout dec’h a mont da an pardon .	DET FEM;N;SG ADJ PART 2;FIN;IND;PST;SG;V ADV PART 3;FIN;IND;PRS;SG;V ADP DET MASC;N;SG _
ret e vo derc'hel mat .	ret e bezañ derc’hel mat .	ADJ PART 3;FIN;FUT;IND;SG;V NFIN;V ADJ _
evel-just e c'hoarvezo ganto o ur bern traoù iskis ha dic'hortoz odo pouez ha levezon war o darempredoù .	evel-just e c’hoarvezout gant indirect un bern tra iskis ha dic’hortoz kaout pouez ha levezon war o darempred .	ADV PART 3;FIN;FUT;IND;SG;V ADP 3;ACC;PL;PRO DET MASC;N;SG MASC;N;PL ADJ CONJ ADJ 3;FIN;FUT;IND;PL;V MASC;N;SG CONJ FEM;N;SG ADP DET MASC;N;PL _
