това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
надяват се да им публикуват статията .	надявам-се се да аз публикувам статия .	3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;PRO;REFL V 3;PL;PRO 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;FEM;N;SG _
гръмотевицата се чува да буботи надалеч .	гръмотевица се чува-(ми)-се да буботя надалеч .	DEF;FEM;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV _
и си останал у тях да притяга кочината .	и съм остана у аз да притягам кочина .	CONJ 2;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADP 3;ACC;PL;PRO V 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;FEM;N;SG _
вече се чува , че ще се извади отново темата за досиетата , вероятно ще се размаха пак някоя друга заплаха за стабилността	вече се чувам-(се) , че ще се извадя отново тема за досие , вероятно ще се размахам-(се) пак някой друг заплаха за стабилност	ADV ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADV DEF;FEM;N;SG ADP DEF;N;NEUT;PL _ ADV V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADV DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG
преди да разговаря с дпс , стоянов се срещна и със сдс , народен съюз и евролевицата .	преди да разговарям с дпс , стоянов се срещна-(се) и със сдс , народен съюз и евролевица .	ADP V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP INDF;NEUT;PROPN;SG _ INDF;MASC;PROPN;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V CONJ ADP INDF;MASC;PROPN;SG _ ADJ;INDF;MASC;SG INDF;MASC;N;SG CONJ DEF;FEM;PROPN;SG _
- ако успеем да намерим вярната , нашата си пътека , смятам , че нещата ще тръгнат учудващо бързо .	- ако успея да намеря-(се) верен , наш свой пътека , смятам , че някой ще тръгна-(си) учудвам-(се) бързо .	_ CONJ 1;ACT;FIN;IND;PFV;PL;PRS;V V 1;ACT;FIN;IND;PFV;PL;PRS;V ADJ;DEF;FEM;SG _ 1;DEF;DET;FEM;SG NOM;PRO;REFL FEM;INDF;N;SG _ 1;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ DEF;NOM;PL;PRO V 3;ACT;FIN;IND;PFV;PL;PRS;V ADV ADV _
прочетох съобщението , че експедицията е заминала .	прочета съобщение , че експедиция съм замина .	1;ACT;FIN;IND;PFV;PST;SG;V DEF;N;NEUT;SG _ CONJ DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;FEM;INDF;PFV;PST;SG;V;V.PTCP _
агенцията за приватизация ( ап ) вече ще се ръководи от изпълнителен съвет , съставен от директор и двама заместници , като и тримата ще се назначават от кабинета .	агенция за приватизация ( ап ) вече ще се ръководя-(се) от изпълнителен съвет , съставя от директор и двама заместник , като и трима ще се назначавам от кабинет .	DEF;FEM;N;SG ADP FEM;INDF;N;SG _ FEM;INDF;PROPN;SG _ ADV V ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _ ADJ;INDF;MASC;PASS;PFV;SG;V.PTCP ADP INDF;MASC;N;SG CONJ INDF;NUM;PL INDF;MASC;N;PL _ CONJ CONJ DEF;NUM;PL V ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;MASC;N;SG _
необходими са кардинални промени в законодателството , за да се преустанови най-сетне нелегалната сеч .	необходим съм кардинален промяна в законодателство , за да се преустановя сетне нелегален сеч .	ADJ;INDF;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL FEM;INDF;N;PL ADP DEF;N;NEUT;SG _ ADP V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADV;RL ADJ;DEF;FEM;SG FEM;INDF;N;SG _
gm въведе нова технология за виртуално проектиране в центъра си в уорън ( мичиган ) , с което скъси рекордно сроковете за разработка на експериментални модели .	gm въведа нов технология за виртуален проектиране в център свой в уорън ( мичиган ) , с който скъся рекордно срок за разработка на експериментален модел .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC;N;SG NOM;PRO;REFL ADP INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG _ _ ADP NEUT;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADV DEF;MASC;N;PL ADP FEM;INDF;N;SG ADP ADJ;INDF;PL INDF;MASC;N;PL _
семейство клинтън решиха да подпишат закона в частна обстановка , тайничко , за да не привлекат вниманието към рик лазио .	семейство клинтън реша да подпиша-(се) закон в частен обстановка , тайничко , за да не привлека внимание към рик лазио .	INDF;N;NEUT;SG INDF;PL;PROPN 3;ACT;FIN;IND;PFV;PL;PST;V V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;MASC;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADV _ ADP V NEG;PART 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;N;NEUT;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
които ние очакваме те да демонстрират в близките дни .	който аз очаквам аз да демонстрирам в близък ден .	NOM;PL;PRO 1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V 3;NOM;PL;PRO V 3;ACT;FIN;IND;PFV;PL;PRS;V ADP ADJ;DEF;PL INDF;MASC;N;PL _
още повече , че става практика всички главоболни проблеми да се решават не с актове на министерския съвет , а с решение на народното събрание .	още повече , че ставам практика всеки главоболен проблем да се решавам-(се) не с акт на министерски съвет , а с решение на народен събрание .	ADV ADV;INDF;PL _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG DET;NOM;PL ADJ;INDF;PL INDF;MASC;N;PL V ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V INTJ;NEG ADP INDF;MASC;N;PL ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ CONJ ADP INDF;N;NEUT;SG ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG _
много от тях забравят как са се ужасявали от първия учебен ден след лятната ваканция .	много от аз забравя-(се) как съм се ужасявам-(се) от пръв учебен ден след летен ваканция .	ADV;INDF;PL ADP 3;ACC;PL;PRO 3;ACT;FIN;IND;PFV;PL;PRS;V ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;PRO;REFL ACT;INDF;IPFV;PL;PST;V;V.PTCP ADP ADJ;DEF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _
пръкна се още един защитник на евреите - иван дочев ! ...	пръкна-(се) се още един защитник на евреин - иван дочев ! ...	3;ACT;FIN;IND;PFV;PST;SG;V ACC;PRO;REFL ADV INDF;MASC;NUM;SG INDF;MASC;N;SG ADP DEF;MASC;N;PL _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ _
кирил благоволи най-после да тръгне с професора по простата причина , че нямаше друг избор .	кирил благоволя после да тръгна-(си) с професор по прост причина , че нямам друг избор .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADV;RL V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;MASC;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ CONJ 3;ACT;FIN;IND;IPFV;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG _
а той си мълчи , трае си и се прави , че ги не чува .	а аз се мълча , трая се и се правя-(се) , че аз не чувам-(се) .	CONJ 3;MASC;NOM;PRO;SG DAT;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ 3;ACT;FIN;IND;IPFV;PRS;SG;V DAT;PRO;REFL CONJ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ 3;ACC;PL;PRO NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _
, уточни първата us дама .	, уточня пръв us дама .	_ 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;DEF;FEM;SG ADJ FEM;INDF;N;SG _
срамота е да се появявате в небрежен външен вид пред началника .	срамота съм да се появявам-се в небрежен външен вид пред началник .	FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V ACC;PRO;REFL 2;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;INDF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;MASC;N;SG _
българските тайни служби били инсценирали катастрофа , за да убият турския вицеконсул в бургас мехмед коза и жена му , съобщи сензационно вчера турският в. " сабах " , цитиран от бта .	български таен служба съм инсценирам катастрофа , за да убия турски вицеконсул в бургас мехмед коза и жена мой , съобщя сензационно вчера турски в. " сабах " , цитирам от бта .	ADJ;DEF;PL ADJ;INDF;PL FEM;INDF;N;PL ACT;IND;INDF;IPFV;PL;V;V.PTCP ACT;INDF;PFV;PL;PST;V;V.PTCP FEM;INDF;N;SG _ ADP V 3;ACT;FIN;IND;PFV;PL;PRS;V ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG CONJ FEM;INDF;N;SG 3;PRO _ 3;ACT;FIN;IND;PFV;PST;SG;V ADV ADV ADJ;DEF;MASC;SG INDF;MASC;N;SG _ INDF;MASC;PROPN;SG _ _ ADJ;INDF;MASC;PASS;PFV;SG;V.PTCP ADP FEM;INDF;PROPN;SG _
няма да е лошо да се даде специален статут на градчето .	нямам да съм лошо да се дам-(се) специален статут на градче .	3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;N;NEUT;SG _
за него ще дойде и цар симеон ii , съобщи източник от монархическите среди .	за аз ще дойда и цар симеон втори , съобщя източник от монархически сряда .	ADP 3;ACC;MASC;PRO;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V CONJ INDF;MASC;N;SG INDF;MASC;PROPN;SG ADJ;INDF;MASC;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;N;SG ADP ADJ;DEF;PL FEM;INDF;N;PL _
мо е против разсекретяването на досиетата на военните разузнавачи .	мо съм против разсекретяване на досие на военен разузнавач .	DEF;NEUT;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DEF;N;NEUT;SG ADP DEF;N;NEUT;PL ADP ADJ;DEF;PL INDF;MASC;N;PL _
тя влезе и заговори .	аз вляза и заговоря-(се) .	3;FEM;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V CONJ 3;ACT;FIN;IND;PFV;PST;SG;V _
по този начин ние получихме реално и трайно одобрение за необходимите реформи .	по този начин аз получа реален и траен одобрение за необходим реформа .	ADP DET;MASC;SG INDF;MASC;N;SG 1;NOM;PL;PRO 1;ACT;FIN;IND;PFV;PL;PST;V ADJ;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP ADJ;DEF;PL FEM;INDF;N;PL _
- ще има ли недобри текстове в предстоящите промени на закона за отбраната и въоръжените сили ?	- ще има ли недобър текст в предстоя промяна на закон за отбрана и въоръжа сила ?	_ V 3;ACT;FIN;IND;IPFV;PRS;SG;V PART ADJ;INDF;PL INDF;MASC;N;PL ADP ACT;ADJ;DEF;IPFV;PL;PRS;V.PTCP FEM;INDF;N;PL ADP DEF;MASC;N;SG ADP DEF;FEM;N;SG CONJ ADJ;DEF;PASS;PFV;PL;V.PTCP FEM;INDF;N;PL _
анастасия мозер и депутати от бзнс - народен съюз .	анастасия мозер и депутат от бзнс - народен съюз .	FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG CONJ INDF;MASC;N;PL ADP INDF;MASC;PROPN;SG _ ADJ;INDF;MASC;SG INDF;MASC;N;SG _
георгиев се предаде на 55-ия ход .	георгиев се предам-(се) на 55-ия ход .	INDF;MASC;PROPN;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _
сиреч , добрите промени се извършват въпреки синдикатите .	сиреч , добър промяна се извършвам въпреки синдикат .	CONJ _ ADJ;DEF;PL FEM;INDF;N;PL ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;MASC;N;PL _
знае ли човек , през новия век може отново да излезем на сцена	знам ли човек , през нов век може отново да изляза на сцена	3;ACT;FIN;IND;IPFV;PRS;SG;V PART INDF;MASC;N;SG _ ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV V 1;ACT;FIN;IND;PFV;PL;PRS;V ADP FEM;INDF;N;SG
няма радиация около потъналата " курск "	нямам радиация около потъна " курск "	3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG ADP ACT;ADJ;DEF;FEM;PFV;PST;SG;V.PTCP _ INDF;MASC;PROPN;SG _
шефът се протегна назад в коженото си кресло и впери поглед в тавана .	шеф се протегна-(се) назад в кожен свой кресло и вперя-(се) поглед в таван .	DEF;MASC;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADV ADP ADJ;DEF;NEUT;SG NOM;PRO;REFL INDF;N;NEUT;SG CONJ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;N;SG ADP DEF;MASC;N;SG _
според кожухарова епидемията трудно можела да се пренесе в българия .	според кожухарова епидемия трудно мога да се пренеса-(се) в българия .	ADP FEM;INDF;PROPN;SG DEF;FEM;N;SG ADV ACT;FEM;INDF;IPFV;SG;V;V.PTCP V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP FEM;INDF;PROPN;SG _
с това се обясняват и неумелите и противоречащи си позиции на финансовото министерство и на правителството по делото .	с този се обяснявам-(се) и неумел и противореча-(си) се позиция на финансов министерство и на правителство по дело .	ADP NEUT;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V CONJ ADJ;DEF;PL CONJ ACT;ADJ;INDF;IPFV;PL;PRS;V.PTCP DAT;PRO;REFL FEM;INDF;N;PL ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG CONJ ADP DEF;N;NEUT;SG ADP DEF;N;NEUT;SG _
- а и аксиния , когато порасне ...	- а и аксиния , когато порасна ...	_ CONJ CONJ FEM;INDF;PROPN;SG _ ADV 3;ACT;FIN;IND;PFV;PRS;SG;V _
гор предлага сделка на буш	гор предлагам сделка на буш	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG ADP INDF;MASC;PROPN;SG
помислете как ще стигнете дотам .	помисля как ще стигна там .	2;FIN;IMP;PFV;PL;V ADV V 2;ACT;FIN;IND;PFV;PL;PRS;V ADV _
дъжд стопил 4162 тона сол в " черноморски солници "	дъжд стопя-(се) 4162 тон сол в " черноморски солница "	INDF;MASC;N;SG ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP INDF;MASC;NUM;PL MASC;N FEM;INDF;N;SG ADP _ ADJ;INDF;PL FEM;INDF;N;PL _
